Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ABNB,Airbnb Inc. Class A Common Stock,$95.94,4.53,4.956%,57218520732.00,United States,2020,7653996,Consumer Discretionary,Hotels/Resorts
ADP,Automatic Data Processing Inc. Common Stock,$212.48,-0.75,-0.352%,88762914857.00,United States,,1455621,Consumer Discretionary,Business Services
AKAM,Akamai Technologies Inc. Common Stock,$93.13,1.01,1.096%,14929222624.00,United States,1999,1296538,Consumer Discretionary,Business Services
AMZN,Amazon.com Inc. Common Stock,$113.50,3.94,3.596%,1155076810700.00,United States,1997,76684414,Consumer Discretionary,Catalog/Specialty Distribution
ATVI,Activision Blizzard Inc. Common Stock,$78.87,0.30,0.382%,61666991697.00,United States,,5145429,Consumer Discretionary,Recreational Games/Products/Toys
BKNG,Booking Holdings Inc. Common Stock,$1787.96,19.98,1.13%,72632756798.00,United States,,525639,Consumer Discretionary,Other Consumer Services
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,$51.76,-1.53,-2.871%,23643411062.00,United Kingdom,,923621,Consumer Staples,Beverages (Production/Distribution)
CHRW,C.H. Robinson Worldwide Inc. Common Stock,$99.46,-2.60,-2.548%,12657891975.00,United States,1997,1174803,Consumer Discretionary,Oil Refining/Marketing
CHTR,Charter Communications Inc. Class A Common Stock New,$481.22,0.30,0.062%,98601581956.00,United States,,713289,Consumer Discretionary,Telecommunications Equipment
CMCSA,Comcast Corporation Class A Common Stock,$39.83,-0.19,-0.475%,178438987373.00,United States,,19320700,Consumer Discretionary,Telecommunications Equipment
COST,Costco Wholesale Corporation Common Stock,$488.26,2.50,0.515%,216281089479.00,United States,,2490345,Consumer Discretionary,Department/Specialty Retail Stores
CPRT,Copart Inc. (DE) Common Stock,$112.28,2.11,1.915%,26685876833.00,United States,1994,900032,Consumer Discretionary,Other Specialty Stores
CTAS,Cintas Corporation Common Stock,$375.36,-1.35,-0.358%,38408678593.00,United States,1983,468909,Consumer Discretionary,Business Services
DLTR,Dollar Tree Inc. Common Stock,$164.84,8.57,5.484%,37015816974.00,United States,1995,3337006,Consumer Discretionary,Department/Specialty Retail Stores
EA,Electronic Arts Inc. Common Stock,$124.75,2.02,1.646%,34843441714.00,United States,,1773113,Consumer Discretionary,Recreational Games/Products/Toys
EBAY,eBay Inc. Common Stock,$43.93,1.04,2.425%,24593864991.00,United States,1998,6413936,Consumer Discretionary,Catalog/Specialty Distribution
ETSY,Etsy Inc. Common Stock,$88.24,8.43,10.563%,11216982148.00,United States,2015,6088066,Consumer Discretionary,Catalog/Specialty Distribution
EXPD,Expeditors International of Washington Inc. Common Stock,$96.50,-1.08,-1.107%,16188249806.00,United States,,877414,Consumer Discretionary,Oil Refining/Marketing
EXPE,Expedia Group Inc. Common Stock,$97.17,0.77,0.799%,15265196238.00,United States,,3638201,Consumer Discretionary,Other Consumer Services
