Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ABB,ABB Ltd Common Stock,$26.39,-0.22,-0.827%,50568612344.00,Switzerland,,2165901,Energy,Electrical Products
APA,APA Corporation Common Stock,$32.73,-2.62,-7.412%,11070346845.00,United States,,8300748,Energy,Oil & Gas Production
BKR,Baker Hughes Company Class A Common Stock,$28.20,-0.89,-3.059%,27765044977.00,United States,,10379005,Energy,Oilfield Services/Equipment
BP,BP p.l.c. Common Stock,$27.15,-1.13,-3.996%,87478658260.00,United Kingdom,,17338497,Energy,Integrated oil Companies
CLR,Continental Resources Inc. Common Stock,$64.11,-1.55,-2.361%,23269949322.00,United States,2007,1796766,Energy,Oil & Gas Production
COP,ConocoPhillips Common Stock,$84.64,-6.34,-6.969%,109477569658.00,United States,,13488003,Energy,Integrated oil Companies
CTRA,Coterra Energy Inc. Common Stock,$25.60,-0.73,-2.773%,20628612070.00,United States,,14571347,Energy,Oil & Gas Production
CVX,Chevron Corporation Common Stock,$142.66,-3.85,-2.628%,280300287633.00,United States,,11518342,Energy,Integrated oil Companies
DVN,Devon Energy Corporation Common Stock,$51.89,-3.22,-5.843%,34247400000.00,United States,1985,14855216,Energy,Oil & Gas Production
E,ENI S.p.A. Common Stock,$22.55,-1.17,-4.933%,39910756499.00,Italy,,779268,Energy,Oil & Gas Production
EC,Ecopetrol S.A. American Depositary Shares,$10.19,-0.89,-8.032%,20948955939.00,Colombia,,1721786,Energy,Oil & Gas Production
ENB,Enbridge Inc Common Stock,$41.44,-1.22,-2.86%,83973291007.00,Canada,,4152253,Energy,Oil & Gas Production
EOG,EOG Resources Inc. Common Stock,$104.82,-6.80,-6.092%,61394486240.00,United States,,5661049,Energy,Oil & Gas Production
EQNR,Equinor ASA,$33.54,-0.29,-0.857%,108078054450.00,Norway,,4421619,Energy,Integrated oil Companies
EQT,EQT Corporation Common Stock,$32.22,-2.05,-5.982%,11906440415.00,United States,,11865825,Energy,Oil & Gas Production
FANG,Diamondback Energy Inc. Commmon Stock,$114.14,-7.07,-5.833%,20042022713.00,United States,2012,4827222,Energy,Oil & Gas Production
HAL,Halliburton Company Common Stock,$28.89,-2.54,-8.081%,26058083809.00,United States,,17833581,Energy,Oil & Gas Production
HES,Hess Corporation Common Stock,$98.19,-7.20,-6.832%,30562869490.00,United States,,2824940,Energy,Oil & Gas Production
MPC,Marathon Petroleum Corporation Common Stock,$81.74,-2.74,-3.243%,44220925905.00,United States,,7247742,Energy,Integrated oil Companies
MPLX,MPLX LP Common Units Representing Limited Partner Interests,$28.98,-0.68,-2.293%,29336565080.00,United States,2012,1843619,Energy,Oil & Gas Production
MRO,Marathon Oil Corporation Common Stock,$21.13,-1.42,-6.297%,14953507851.00,United States,,23575339,Energy,Oil & Gas Production
OVV,Ovintiv Inc. (DE),$39.96,-3.54,-8.138%,10315042392.00,Canada,,7424102,Energy,Oil & Gas Production
OXY,Occidental Petroleum Corporation Common Stock,$59.11,-1.33,-2.201%,55397358946.00,United States,,40025176,Energy,Oil & Gas Production
PBA,Pembina Pipeline Corp. Ordinary Shares (Canada),$34.32,-1.19,-3.351%,19022752320.00,Canada,,1581278,Energy,Oil & Gas Production
PBR,Petroleo Brasileiro S.A.- Petrobras Common Stock,$11.34,-0.42,-3.571%,73960621144.00,Brazil,,33997354,Energy,Oil & Gas Production
PSX,Phillips 66 Common Stock,$80.39,-3.98,-4.717%,38675631090.00,United States,,5208565,Energy,Integrated oil Companies
PTR,PetroChina Company Limited Common Stock,$44.47,-2.88,-6.082%,81389428828.00,China,,576455,Energy,Oil & Gas Production
PXD,Pioneer Natural Resources Company Common Stock,$215.14,-8.80,-3.93%,52055056033.00,United States,,3622645,Energy,Oil & Gas Production
SHEL,Royal Dutch Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,$48.60,-3.30,-6.358%,178807325348.00,Netherlands,,9624618,Energy,Oil & Gas Production
SLB,Schlumberger N.V. Common Stock,$33.33,-2.32,-6.508%,47110645298.00,France,,17644415,Energy,Oilfield Services/Equipment
SNP,China Petroleum & Chemical Corporation Common Stock,$43.67,-1.47,-3.257%,52871797232.00,China,,257186,Energy,Integrated oil Companies
SSL,Sasol Ltd. American Depositary Shares,$21.02,-0.66,-3.044%,13356005128.00,South Africa,,418228,Energy,Oil & Gas Production
TPL,Texas Pacific Land Corporation Common Stock,$1468.35,-58.62,-3.839%,11367554562.00,United States,,39742,Energy,Oil & Gas Production
TTE,TotalEnergies SE,$51.15,-1.68,-3.18%,132497920990.00,France,,2164804,Energy,Oil & Gas Production
VLO,Valero Energy Corporation Common Stock,$103.59,-4.39,-4.066%,42274707733.00,United States,,5316800,Energy,Integrated oil Companies
WDS,Woodside Energy Group Limited American Depositary Shares each representing one Ordinary Share,$21.21,0.33,1.58%,40272482643.00,,2022,888219,Energy,Oil & Gas Production
XOM,Exxon Mobil Corporation Common Stock,$84.81,-2.74,-3.13%,357321916813.00,United States,,34601325,Energy,Oil & Gas Production
