Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACGL,Arch Capital Group Ltd. Common Stock,$66.05,0.45,0.686%,24461353102.00,Bermuda,,1661765,Finance,Property-Casualty Insurers
AFG,American Financial Group Inc. Common Stock,$118.02,1.69,1.453%,10055776080.00,United States,,353229,Finance,Property-Casualty Insurers
AFL,AFLAC Incorporated Common Stock,$62.88,0.35,0.56%,38687297280.00,United States,,2163588,Finance,Accident &Health Insurance
AIG,American International Group Inc. New Common Stock,$47.34,0.18,0.382%,40784628248.00,United States,,6564508,Finance,Life Insurance
AJG,Arthur J. Gallagher & Co. Common Stock,$185.66,1.22,0.661%,39377372040.00,United States,,1010656,Finance,Specialty Insurers
ALL,Allstate Corporation (The) Common Stock,$105.59,0.01,0.009%,27804983023.00,United States,,2893028,Finance,Property-Casualty Insurers
AMP,Ameriprise Financial Inc. Common Stock,$291.44,-5.72,-1.925%,30688632000.00,United States,,919957,Finance,Investment Managers
AON,Aon plc Class A Ordinary Shares (Ireland),$309.16,6.17,2.036%,63421817892.00,United States,,895888,Finance,Specialty Insurers
APO,Apollo Global Management Inc. (New) Common Stock,$57.54,-0.16,-0.277%,32813691858.00,,,3389464,Finance,Investment Managers
ARES,Ares Management Corporation Class A Common Stock,$80.40,0.01,0.012%,14223562794.00,,2014,1691643,Finance,Investment Managers
AXP,American Express Company Common Stock,$159.78,-2.98,-1.831%,118907109926.00,United States,,2588751,Finance,Finance: Consumer Services
BAC,Bank of America Corporation Common Stock,$27.14,0.17,0.63%,217032553373.00,United States,,96874347,Finance,Major Banks
BBD,Banco Bradesco Sa American Depositary Shares,$2.41,0.03,1.261%,25647630249.00,Brazil,,35952510,Finance,Commercial Banks
BBDO,Banco Bradesco Sa American Depositary Shares (each representing one Common Share),$2.1899,0.0499,2.332%,23305288582.00,Brazil,,14837,Finance,Commercial Banks
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,$6.65,-0.13,-1.917%,40067025151.00,Spain,,2443885,Finance,Commercial Banks
BCS,Barclays PLC Common Stock,$6.60,-0.05,-0.752%,26196381486.00,United Kingdom,,17287848,Finance,Commercial Banks
BEKE,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares),$18.36,-0.44,-2.34%,22954007474.00,China,2020,6244240,Finance,Real Estate
BEN,Franklin Resources Inc. Common Stock,$26.29,0.10,0.382%,13154407798.00,United States,,2859580,Finance,Investment Managers
BK,The Bank of New York Mellon Corporation Common Stock,$42.75,-0.49,-1.133%,34561023750.00,United States,,5972872,Finance,Investment Managers
BLK,BlackRock Inc. Common Stock,$644.88,-6.90,-1.059%,96574966561.00,United States,1999,574140,Finance,Investment Bankers/Brokers/Service
BRO,Brown & Brown Inc. Common Stock,$55.36,0.30,0.545%,15677952000.00,United States,,928984,Finance,Specialty Insurers
BSBR,Banco Santander Brasil SA American Depositary Shares each representing one unit,$4.95,0.13,2.697%,36888743826.00,Brazil,2009,851689,Finance,Commercial Banks
BX,Blackstone Inc. Common Stock,$83.94,-0.51,-0.604%,62338356447.00,United States,2007,5206387,Finance,Investment Managers
C,Citigroup Inc. Common Stock,$43.11,-0.34,-0.783%,83497726967.00,United States,,25453911,Finance,Major Banks
CB,Chubb Limited  Common Stock,$186.55,0.54,0.29%,77342670387.00,Switzerland,,1855102,Finance,Property-Casualty Insurers
CBOE,Cboe Global Markets Inc. Common Stock,$129.28,2.10,1.651%,14455928000.00,,2010,596118,Finance,Investment Bankers/Brokers/Service
CBRE,CBRE Group Inc Common Stock Class A,$68.86,-0.05,-0.073%,21756216327.00,United States,,3763731,Finance,Real Estate
CFG,Citizens Financial Group Inc. Common Stock,$31.10,1.21,4.048%,15055710906.00,United States,2014,11488459,Finance,Major Banks
CG,The Carlyle Group Inc. Common Stock,$30.42,-0.18,-0.588%,11079542406.00,United States,2012,2952769,Finance,Investment Managers
CINF,Cincinnati Financial Corporation Common Stock,$106.60,0.62,0.585%,16746860000.00,United States,,574506,Finance,Property-Casualty Insurers
CME,CME Group Inc. Class A Common Stock,$183.55,3.52,1.955%,66028095875.00,United States,2002,1382944,Finance,Investment Bankers/Brokers/Service
CNA,CNA Financial Corporation Common Stock,$37.27,0.42,1.14%,10096511167.00,United States,,161840,Finance,Property-Casualty Insurers
COF,Capital One Financial Corporation Common Stock,$90.45,0.54,0.601%,34488585000.00,United States,1994,3069163,Finance,Finance Companies
COIN,Coinbase Global Inc. Class A Common Stock,$67.83,1.53,2.308%,17764677000.00,United States,,21618493,Finance,Investment Bankers/Brokers/Service
CSGP,CoStar Group Inc. Common Stock,$67.14,1.29,1.959%,27305170628.00,United States,1998,3402503,Finance,Real Estate
DB,Deutsche Bank AG Common Stock,$9.35,-0.30,-3.109%,19055300000.00,Germany,,36856438,Finance,Commercial Banks
