Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,$35.53,-0.02,-0.056%,12374848975.00,,2013,2277100,Real Estate,Real Estate Investment Trusts
ARE,Alexandria Real Estate Equities Inc. Common Stock,$149.32,1.19,0.803%,24371697276.00,United States,,725782,Real Estate,Real Estate Investment Trusts
AVB,AvalonBay Communities Inc. Common Stock,$194.21,-2.04,-1.039%,27154097283.00,United States,,852169,Real Estate,Real Estate Investment Trusts
BXP,Boston Properties Inc. Common Stock,$91.16,0.56,0.618%,14285883058.00,United States,1997,1092392,Real Estate,Real Estate Investment Trusts
CCI,Crown Castle International Corp. (REIT) Common Stock,$171.53,-0.83,-0.482%,74277923899.00,United States,,1525493,Real Estate,Real Estate Investment Trusts
CPT,Camden Property Trust Common Stock,$133.91,-2.15,-1.58%,14264207157.00,United States,1993,701103,Real Estate,Real Estate Investment Trusts
DLR,Digital Realty Trust Inc. Common Stock,$128.56,-3.02,-2.295%,36597478859.00,United States,2004,2172245,Real Estate,Real Estate Investment Trusts
DRE,Duke Realty Corporation Common Stock,$56.84,0.64,1.139%,21873188239.00,United States,,3030894,Real Estate,Real Estate Investment Trusts
ELS,Equity Lifestyle Properties Inc. Common Stock,$71.99,0.13,0.181%,13390969685.00,United States,,789844,Real Estate,Real Estate Investment Trusts
EQIX,Equinix Inc. Common Stock REIT,$667.16,-5.87,-0.872%,60726105422.00,United States,2000,511987,Real Estate,Real Estate Investment Trusts
EQR,Equity Residential Common Shares of Beneficial Interest,$72.26,-0.67,-0.919%,27172784009.00,United States,,2014492,Real Estate,Real Estate Investment Trusts
ESS,Essex Property Trust Inc. Common Stock,$264.50,-2.23,-0.836%,17280584848.00,United States,1994,407898,Real Estate,Real Estate Investment Trusts
EXR,Extra Space Storage Inc Common Stock,$171.87,-2.51,-1.439%,23078679882.00,United States,2004,380142,Real Estate,Real Estate Investment Trusts
GLPI,Gaming and Leisure Properties Inc. Common Stock,$46.47,-0.35,-0.748%,11824028619.00,United States,,1299677,Real Estate,Real Estate Investment Trusts
HST,Host Hotels & Resorts Inc. Common Stock,$15.82,0.11,0.70%,11307774165.00,United States,,6282674,Real Estate,Real Estate Investment Trusts
INVH,Invitation Homes Inc. Common Stock,$36.09,0.35,0.979%,22026479477.00,United States,2017,3612862,Real Estate,Real Estate Investment Trusts
IRM,Iron Mountain Incorporated (Delaware)Common Stock REIT,$48.77,-0.56,-1.135%,14170686208.00,United States,,944368,Real Estate,Real Estate Investment Trusts
KIM,Kimco Realty Corporation Common Stock,$20.11,-0.10,-0.495%,12428117030.00,United States,,4437708,Real Estate,Real Estate Investment Trusts
LEN,Lennar Corporation Class A Common Stock,$77.39,2.79,3.74%,22550392567.00,United States,,5558184,Real Estate,Building operators
MAA,Mid-America Apartment Communities Inc. Common Stock,$171.84,-3.61,-2.058%,19835079815.00,United States,1994,646553,Real Estate,Real Estate Investment Trusts
O,Realty Income Corporation Common Stock,$69.29,-0.86,-1.226%,41684746623.00,United States,,2979834,Real Estate,Real Estate Investment Trusts
PEAK,Healthpeak Properties Inc. Common Stock,$26.35,-0.23,-0.865%,14217330982.00,United States,,4760012,Real Estate,Real Estate Investment Trusts
PLD,Prologis Inc. Common Stock,$121.43,1.40,1.166%,89900014785.00,United States,,4218825,Real Estate,Real Estate Investment Trusts
PSA,Public Storage Common Stock,$314.71,-2.66,-0.838%,55240712078.00,United States,,669715,Real Estate,Real Estate Investment Trusts
REG,Regency Centers Corporation Common Stock,$60.37,-0.03,-0.05%,10405514043.00,United States,1993,702443,Real Estate,Real Estate Investment Trusts
SBAC,SBA Communications Corporation Class A Common Stock,$324.71,-5.75,-1.74%,35013171150.00,United States,1999,514384,Real Estate,Real Estate Investment Trusts
SPG,Simon Property Group Inc. Common Stock,$97.57,1.89,1.975%,32066048274.00,United States,,1908401,Real Estate,Real Estate Investment Trusts
SUI,Sun Communities Inc. Common Stock,$161.11,-0.56,-0.346%,19593005503.00,United States,1993,368537,Real Estate,Real Estate Investment Trusts
UDR,UDR Inc. Common Stock,$45.81,-0.65,-1.399%,14585954803.00,United States,,2305221,Real Estate,Real Estate Investment Trusts
VICI,VICI Properties Inc. Common Stock,$30.70,-0.02,-0.065%,29564164869.00,,2018,5533796,Real Estate,Real Estate Investment Trusts
VTR,Ventas Inc. Common Stock,$51.79,-0.95,-1.801%,20700230308.00,United States,,1603267,Real Estate,Real Estate Investment Trusts
WELL,Welltower Inc. Common Stock,$82.36,-0.85,-1.022%,37388785867.00,United States,,1819040,Real Estate,Real Estate Investment Trusts
WPC,W. P. Carey Inc. REIT,$82.06,-1.31,-1.571%,15650946183.00,United States,,930960,Real Estate,Real Estate Investment Trusts
WY,Weyerhaeuser Company Common Stock,$34.20,0.22,0.647%,25461831600.00,United States,,3947258,Real Estate,Real Estate Investment Trusts
