Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$136.72,-2.51,-1.803%,2370361124800.00,United States,1980,98964467,Technology,Computer Manufacturing
ADBE,Adobe Inc. Common Stock,$366.06,-2.44,-0.662%,172963350000.00,United States,1986,2595510,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,$146.09,-1.18,-0.801%,75938462631.00,United States,,4158019,Technology,Semiconductors
ADSK,Autodesk Inc. Common Stock,$171.96,-4.89,-2.765%,37362128372.00,United States,,1707010,Technology,Computer Software: Prepackaged Software
AMAT,Applied Materials Inc. Common Stock,$90.98,-0.96,-1.044%,79147803261.00,United States,1972,8183616,Technology,Semiconductors
AMD,Advanced Micro Devices Inc. Common Stock,$76.47,-1.52,-1.949%,124444599638.00,United States,,105368616,Technology,Semiconductors
ANSS,ANSYS Inc. Common Stock,$239.29,-2.17,-0.899%,20815865815.00,United States,1996,435143,Technology,Computer Software: Prepackaged Software
APP,Applovin Corporation Class A Common Stock,$34.44,-1.11,-3.122%,13019901864.00,United States,2021,3003734,Technology,EDP Services
ASML,ASML Holding N.V. New York Registry Shares,$475.88,-8.74,-1.803%,191590055594.00,Netherlands,1995,866361,Technology,Industrial Machinery/Components
AVGO,Broadcom Inc. Common Stock,$485.81,-4.60,-0.938%,196178676837.00,United States,2009,1888997,Technology,Semiconductors
AZPN,Aspen Technology Inc. Common Stock,$183.68,-10.35,-5.334%,11419144796.00,United States,,240671,Technology,EDP Services
BIDU,Baidu Inc. ADS,$148.73,-2.59,-1.712%,51393727798.00,China,2005,3075469,Technology,Computer Software: Programming Data Processing
CDNS,Cadence Design Systems Inc. Common Stock,$150.03,-0.89,-0.59%,41372122770.00,United States,,2088047,Technology,Computer Software: Prepackaged Software
CDW,CDW Corporation Common Stock,$157.56,-0.52,-0.329%,21288832843.00,United States,2013,797196,Technology,EDP Services
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,$121.78,0.57,0.47%,15601669824.00,Israel,1996,1270923,Technology,Computer Software: Prepackaged Software
COIN,Coinbase Global Inc. Class A Common Stock,$47.02,-2.73,-5.487%,12314538000.00,United States,,12934359,Technology,EDP Services
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,$168.56,-7.38,-4.195%,39117999852.00,United States,2019,4214631,Technology,EDP Services
CSCO,Cisco Systems Inc. Common Stock (DE),$42.64,-0.24,-0.56%,176570706538.00,United States,1990,24947921,Telecommunications,Computer Communications Equipment
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,$67.49,-0.99,-1.446%,35174022327.00,United States,1998,2668312,Technology,EDP Services
CTXS,Citrix Systems Inc. Common Stock,$97.17,0.33,0.341%,12299771409.00,United States,1995,1037521,Technology,Computer Software: Prepackaged Software
DDOG,Datadog Inc. Class A Common Stock,$95.24,-3.13,-3.182%,30002255366.00,United States,2019,4417290,Technology,EDP Services
DOCU,DocuSign Inc. Common Stock,$57.38,-3.66,-5.996%,11472786720.00,United States,2018,5064709,Technology,EDP Services
DOX,Amdocs Limited Ordinary Shares,$83.31,-0.03,-0.036%,10233800400.00,Guernsey,,718754,Technology,EDP Services
ENPH,Enphase Energy Inc. Common Stock,$195.24,10.60,5.741%,26362913382.00,United States,2012,3264908,Technology,Electrical Products
ENTG,Entegris Inc. Common Stock,$92.13,-1.76,-1.875%,12518908529.00,United States,2000,2108011,Technology,Semiconductors
ERIC,Ericsson American Depositary Shares,$7.40,-0.24,-3.141%,24671600000.00,Sweden,,7767609,Technology,Computer Software: Prepackaged Software
FTNT,Fortinet Inc. Common Stock,$56.58,-0.59,-1.032%,44609464454.00,United States,2009,4280082,Technology,Security Systems Services
GOOG,Alphabet Inc. Class C Capital Stock,$2187.45,-57.68,-2.569%,1440435555944.00,United States,2004,1902302,Technology,Internet and Information Services
GOOGL,Alphabet Inc. Class A Common Stock,$2179.26,-54.77,-2.452%,1435042441951.00,United States,2004,2158453,Technology,Internet and Information Services
INTC,Intel Corporation Common Stock,$37.41,0.12,0.322%,152969490000.00,United States,,35141045,Technology,Semiconductors
INTU,Intuit Inc. Common Stock,$385.44,-4.22,-1.083%,108723768516.00,United States,1993,1670438,Technology,Computer Software: Prepackaged Software
JKHY,Jack Henry & Associates Inc. Common Stock,$180.02,-2.10,-1.153%,13116582496.00,United States,1985,930700,Technology,Retail: Computer Software & Peripheral Equipment
KLAC,KLA Corporation Common Stock,$319.08,-1.49,-0.465%,45528264515.00,United States,1980,1302591,Technology,Electronic Components
LBTYA,Liberty Global plc Class A Ordinary Shares,$21.05,-1.23,-5.521%,10626404691.00,United Kingdom,,1608129,Telecommunications,Cable & Other Pay Television Services
LBTYB,Liberty Global plc Class B Ordinary Shares,$22.40,0.00,0.00%,11307908080.00,United Kingdom,,6,Telecommunications,Cable & Other Pay Television Services
