Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$142.57 ,1.6301,1.16%,2.47179E+12,United States,1980,12010672,Technology,Computer Manufacturing
ADBE,Adobe Inc. Common Stock,$332.14 ,5.455,1.67%,1.5441E+11,United States,1986,364817,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,$168.01 ,2,1.21%,85566811047,United States,,466666,Technology,Semiconductors
ADSK,Autodesk Inc. Common Stock,$196.65 ,3.31,1.71%,42430677695,United States,,175407,Technology,Computer Software: Prepackaged Software
AMAT,Applied Materials Inc. Common Stock,$108.67 ,2.56,2.41%,93489819999,United States,1972,1035460,Technology,Semiconductors
AMD,Advanced Micro Devices Inc. Common Stock,$70.25 ,0.1101,0.16%,1.14323E+11,United States,,14001508,Technology,Semiconductors
ANSS,ANSYS Inc. Common Stock,$247.27 ,4.345,1.79%,21539806787,United States,1996,60062,Technology,Computer Software: Prepackaged Software
ASML,ASML Holding N.V. New York Registry Shares,$600.56 ,-0.7907,-0.13%,2.42107E+11,Netherlands,1995,239486,Technology,Industrial Machinery/Components
AVGO,Broadcom Inc. Common Stock,$527.90 ,9.4,1.81%,2.13804E+11,United States,2009,448881,Technology,Semiconductors
AZPN,Aspen Technology Inc. Common Stock,$231.04 ,4.98,2.20%,14911329917,United States,,10028,Technology,EDP Services
BIDU,Baidu Inc. ADS,$119.87 ,5.29,4.62%,41421139993,China,2005,1652966,Technology,Computer Software: Programming Data Processing
BSY,Bentley Systems Incorporated Class B Common Stock,$39.42 ,0.93,2.42%,11368440746,United States,2020,136155,Technology,Retail: Computer Software & Peripheral Equipment
CDNS,Cadence Design Systems Inc. Common Stock,$164.57 ,3.98,2.48%,45144184120,United States,,265554,Technology,Computer Software: Prepackaged Software
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,$131.52 ,0,0.00%,16494097201,Israel,1996,64099,Technology,Computer Software: Prepackaged Software
COIN,Coinbase Global Inc. Class A Common Stock,$42.88 ,1.62,3.93%,11230272000,United States,,3100882,Technology,EDP Services
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,$115.01 ,1.81,1.60%,26957630938,United States,2019,841138,Technology,EDP Services
CSCO,Cisco Systems Inc. Common Stock (DE),$48.86 ,0.68,1.41%,2.00722E+11,United States,1990,2291539,Telecommunications,Computer Communications Equipment
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,$59.55 ,0.15,0.25%,30604021276,United States,1998,406859,Technology,EDP Services
DDOG,Datadog Inc. Class A Common Stock,$72.85 ,4.57,6.69%,23134234198,United States,2019,1964135,Technology,EDP Services
DOX,Amdocs Limited Ordinary Shares,$89.13 ,0.875,0.99%,10869774125,Guernsey,,58343,Technology,EDP Services
ENTG,Entegris Inc. Common Stock,$71.26 ,1.88,2.71%,10620204456,United States,2000,280660,Technology,Semiconductors
ERIC,Ericsson American Depositary Shares,$6.42 ,0.085,1.34%,21387610000,Sweden,,855876,Technology,Computer Software: Prepackaged Software
FSLR,First Solar Inc. Common Stock,$156.63 ,1.8901,1.22%,16697647355,United States,2006,262039,Technology,Semiconductors
FTNT,Fortinet Inc. Common Stock,$52.37 ,0.77,1.49%,41290167082,United States,2009,641905,Technology,Security Systems Services
GEN,Gen Digital Inc. Common Stock,$22.77 ,0.12,0.53%,2.37303E+11,United States,,219754,Technology,Computer Software: Prepackaged Software
GFS,GlobalFoundries Inc. Ordinary Shares,$61.64 ,0.74,1.22%,33598327211,United States,2021,183728,Technology,Semiconductors
GOOG,Alphabet Inc. Class C Capital Stock,$94.19 ,-0.96,-1.01%,1.2191E+12,United States,2004,4657999,Technology,Internet and Information Services
GOOGL,Alphabet Inc. Class A Common Stock,$93.79 ,-1.15,-1.21%,1.21392E+12,United States,2004,6569196,Technology,Internet and Information Services
INTC,Intel Corporation Common Stock,$28.44 ,0.105,0.37%,1.17351E+11,United States,,4676001,Technology,Semiconductors
INTU,Intuit Inc. Common Stock,$396.56 ,7.91,2.04%,1.11404E+11,United States,1993,192708,Technology,Computer Software: Prepackaged Software
JKHY,Jack Henry & Associates Inc. Common Stock,$184.98 ,0.2,0.11%,13494186116,United States,1985,44429,Technology,Retail: Computer Software & Peripheral Equipment
KLAC,KLA Corporation Common Stock,$394.61 ,6.52,1.68%,55923469017,United States,1980,179941,Technology,Electronic Components
LRCX,Lam Research Corporation Common Stock,$452.58 ,8.3,1.87%,61722559887,United States,1984,198970,Technology,Industrial Machinery/Components
MCHP,Microchip Technology Incorporated Common Stock,$76.49 ,1.255,1.67%,42067416184,United States,1993,348619,Technology,Semiconductors
META,Meta Platforms Inc. Class A Common Stock,$115.73 ,1.795,1.58%,3.0685E+11,United States,2012,7537167,Technology,Internet and Information Services
MPWR,Monolithic Power Systems Inc. Common Stock,$377.04 ,9.27,2.52%,17699011680,United States,2004,47531,Technology,Semiconductors
MRVL,Marvell Technology Inc. Common Stock,$41.44 ,1.03,2.55%,35356608000,Bermuda,2000,1808978,Technology,Semiconductors
MSFT,Microsoft Corporation Common Stock,$245.92 ,1.55,0.63%,1.8332E+12,United States,1986,4296603,Technology,Computer Software: Prepackaged Software
MTCH,Match Group Inc. Common Stock,$44.56 ,1.51,3.51%,12445880083,United States,,576406,Technology,Computer Software: Programming Data Processing
MU,Micron Technology Inc. Common Stock,$54.96 ,1.135,2.11%,59950017396,United States,,2895380,Technology,Semiconductors
NICE,NICE Ltd American Depositary Shares,$199.73 ,4.01,2.05%,12689173658,Israel,,15783,Technology,Computer Software: Prepackaged Software
NTAP,NetApp Inc. Common Stock,$63.62 ,0.64,1.02%,13714776972,United States,1995,180260,Technology,Electronic Components
