Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$138.93,2.21,1.616%,2408676646200.00,United States,1980,71001070,Technology,Computer Manufacturing
ACIW,ACI Worldwide Inc. Common Stock,$25.87,-0.02,-0.077%,2969528385.00,United States,,565653,Technology,EDP Services
ADBE,Adobe Inc. Common Stock,$368.48,2.42,0.661%,174106800000.00,United States,1986,2471557,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,$142.91,-3.18,-2.177%,74285479461.00,United States,,3175031,Technology,Semiconductors
ADSK,Autodesk Inc. Common Stock,$173.86,1.90,1.105%,37774945561.00,United States,,1203096,Technology,Computer Software: Prepackaged Software
AFRM,Affirm Holdings Inc. Class A Common Stock,$17.19,-0.87,-4.817%,4923738043.00,United States,2021,18998318,Technology,EDP Services
ALGM,Allegro MicroSystems Inc. Common Stock,$19.96,-0.73,-3.528%,3808434946.00,United States,2020,428137,Technology,Semiconductors
ALRM,Alarm.com Holdings Inc. Common Stock,$62.38,0.52,0.841%,3124445088.00,United States,2015,207713,Technology,Computer Software: Prepackaged Software
ALTR,Altair Engineering Inc. Class A Common Stock,$52.07,-0.43,-0.819%,4153614684.00,United States,2017,247541,Technology,Computer Software: Prepackaged Software
AMAT,Applied Materials Inc. Common Stock,$86.27,-4.71,-5.177%,75050351587.00,United States,1972,13120943,Technology,Semiconductors
AMBA,Ambarella Inc. Ordinary Shares,$63.29,-2.17,-3.315%,2412621382.00,United States,2012,424772,Technology,Semiconductors
AMD,Advanced Micro Devices Inc. Common Stock,$73.67,-2.80,-3.662%,119887977708.00,United States,,87632980,Technology,Semiconductors
AMKR,Amkor Technology Inc. Common Stock,$15.44,-1.51,-8.909%,3779390138.00,United States,1998,1229801,Technology,Semiconductors
ANGI,Angi Inc. Class A Common Stock,$4.57,-0.01,-0.218%,2295699832.00,United States,,1315634,Technology,EDP Services
ANSS,ANSYS Inc. Common Stock,$240.19,0.90,0.376%,20894156923.00,United States,1996,409884,Technology,Computer Software: Prepackaged Software
APP,Applovin Corporation Class A Common Stock,$34.98,0.54,1.568%,13224046666.00,United States,2021,2141619,Technology,EDP Services
APPF,AppFolio Inc. Class A Common Stock,$93.75,3.11,3.431%,3271856531.00,United States,2015,135811,Technology,EDP Services
APPN,Appian Corporation Class A Common Stock,$47.14,-0.22,-0.465%,3410489340.00,United States,2017,345289,Technology,EDP Services
ASML,ASML Holding N.V. New York Registry Shares,$449.83,-26.05,-5.474%,181102283576.00,Netherlands,1995,1567498,Technology,Industrial Machinery/Components
AUR,Aurora Innovation Inc. Class A Common Stock,$1.96,0.05,2.618%,2228806889.00,United States,2021,2395209,Technology,EDP Services
AVGO,Broadcom Inc. Common Stock,$477.84,-7.97,-1.641%,192960249768.00,United States,2009,2131477,Technology,Semiconductors
AVT,Avnet Inc. Common Stock,$42.27,-0.61,-1.423%,4129006685.00,United States,,661088,Technology,Electronic Components
AZPN,Aspen Technology Inc. Common Stock,$191.24,7.56,4.116%,11889140084.00,United States,,172924,Technology,EDP Services
BIDU,Baidu Inc. ADS,$151.49,2.76,1.856%,52347447214.00,China,2005,1815111,Technology,Computer Software: Programming Data Processing
BILI,Bilibili Inc. American Depositary Shares,$26.74,1.14,4.453%,10444766656.00,China,2018,3159946,Technology,EDP Services
BL,BlackLine Inc. Common Stock,$68.01,1.41,2.117%,4033820206.00,United States,2016,345491,Technology,Computer Software: Prepackaged Software
BLKB,Blackbaud Inc. Common Stock,$57.48,-0.59,-1.016%,3043166342.00,United States,2004,288610,Technology,Computer Software: Prepackaged Software
BMBL,Bumble Inc. Class A Common Stock,$29.36,1.21,4.298%,3802722438.00,United States,2021,1542907,Technology,Computer Software: Prepackaged Software
BRZE,Braze Inc. Class A Common Stock,$39.10,2.87,7.922%,3675999364.00,United States,2021,839994,Technology,Computer Software: Prepackaged Software
BSY,Bentley Systems Incorporated Class B Common Stock,$33.64,0.34,1.021%,9672653717.00,United States,2020,615454,Technology,Retail: Computer Software & Peripheral Equipment
CARG,CarGurus Inc. Class A Common Stock ,$22.42,0.93,4.328%,2654136323.00,United States,2017,563686,Technology,Interactive Media
CCMP,CMC Materials Inc. Common Stock,$172.68,-1.81,-1.037%,4940543336.00,United States,2000,712987,Technology,Semiconductors
CDK,CDK Global Inc. Common Stock,$54.84,0.07,0.128%,6399817142.00,United States,,1061960,Technology,Retail: Computer Software & Peripheral Equipment
CDNS,Cadence Design Systems Inc. Common Stock,$149.64,-0.39,-0.26%,41264576760.00,United States,,1509260,Technology,Computer Software: Prepackaged Software
CDW,CDW Corporation Common Stock,$157.00,-0.56,-0.355%,21213168040.00,United States,2013,798076,Technology,EDP Services
CERT,Certara Inc. Common Stock,$22.09,0.63,2.936%,3530898779.00,United States,2020,427911,Technology,Retail: Computer Software & Peripheral Equipment
CFLT,Confluent Inc. Class A Common Stock,$24.54,1.30,5.594%,6830515257.00,United States,2021,1771428,Technology,EDP Services
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,$123.83,2.05,1.683%,15864302630.00,Israel,1996,640403,Technology,Computer Software: Prepackaged Software
CNXC,Concentrix Corporation Common Stock,$137.14,1.50,1.106%,7041041880.00,United States,,235183,Technology,Computer Software: Prepackaged Software
COIN,Coinbase Global Inc. Class A Common Stock,$49.04,2.02,4.296%,12843576000.00,United States,,8529908,Technology,EDP Services
COUP,Coupa Software Incorporated Common Stock,$59.47,2.37,4.151%,4493006909.00,United States,2016,1148975,Technology,Computer Software: Prepackaged Software
CRUS,Cirrus Logic Inc. Common Stock,$69.66,-2.88,-3.97%,3893438322.00,United States,1989,386168,Technology,Semiconductors
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,$179.25,10.69,6.342%,41598845951.00,United States,2019,3705562,Technology,EDP Services
CSCO,Cisco Systems Inc. Common Stock (DE),$42.60,-0.04,-0.094%,176405067976.00,United States,1990,24337646,Telecommunications,Computer Communications Equipment
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,$68.03,0.54,0.80%,35455456199.00,United States,1998,2006491,Technology,EDP Services
CTXS,Citrix Systems Inc. Common Stock,$97.93,0.76,0.782%,12395972153.00,United States,1995,494880,Technology,Computer Software: Prepackaged Software
CVLT,Commvault Systems Inc. Common Stock,$64.08,1.18,1.876%,2858136594.00,United States,2006,193819,Technology,Computer Software: Prepackaged Software
CVT,Cvent Holding Corp. Common Stock,$5.01,0.39,8.442%,2411435024.00,United States,2020,316854,Technology,Computer Software: Prepackaged Software
CYBR,CyberArk Software Ltd. Ordinary Shares,$130.83,2.87,2.243%,5326917323.00,Israel,2014,184674,Technology,Computer Software: Prepackaged Software
CYXT,Cyxtera Technologies Inc. Class A Common Stock,$11.44,0.10,0.882%,2042799067.00,United States,2020,488941,Technology,EDP Services
DBX,Dropbox Inc. Class A Common Stock,$21.90,0.91,4.335%,8225728323.00,United States,2018,2560840,Technology,Computer Software: Prepackaged Software
DDOG,Datadog Inc. Class A Common Stock,$101.05,5.81,6.10%,31832506350.00,United States,2019,3821125,Technology,EDP Services
DH,Definitive Healthcare Corp. Class A Common Stock,$23.49,0.56,2.442%,2294050736.00,United States,2021,612120,Technology,Computer Software: Prepackaged Software
DIOD,Diodes Incorporated Common Stock,$60.95,-3.62,-5.606%,2757820558.00,United States,,303088,Technology,Semiconductors
DOCU,DocuSign Inc. Common Stock,$61.22,3.84,6.692%,12240571680.00,United States,2018,7464699,Technology,EDP Services
DOX,Amdocs Limited Ordinary Shares,$84.45,1.14,1.368%,10373838000.00,Guernsey,,620151,Technology,EDP Services
DUOL,Duolingo Inc. Class A Common Stock,$95.06,7.51,8.578%,3722677646.00,United States,2021,569572,Technology,Computer Software: Prepackaged Software
EEFT,Euronet Worldwide Inc. Common Stock,$98.89,-1.70,-1.69%,4998938747.00,United States,1997,507801,Technology,EDP Services
ENPH,Enphase Energy Inc. Common Stock,$195.72,0.48,0.246%,26427726937.00,United States,2012,2067494,Technology,Electrical Products
ENTG,Entegris Inc. Common Stock,$88.38,-3.75,-4.07%,12009346964.00,United States,2000,2085437,Technology,Semiconductors
ERIC,Ericsson American Depositary Shares,$7.43,0.03,0.405%,24771620000.00,Sweden,,8541718,Technology,Computer Software: Prepackaged Software
EXLS,ExlService Holdings Inc. Common Stock,$148.29,0.96,0.652%,4936009115.00,United States,2006,215105,Technology,Retail: Computer Software & Peripheral Equipment
FFIV,F5 Inc. Common Stock,$153.34,0.30,0.196%,9272780160.00,United States,1999,328085,Technology,EDP Services
FIVN,Five9 Inc. Common Stock,$94.73,3.59,3.939%,6589174870.00,United States,2014,546720,Technology,EDP Services
FLEX,Flex Ltd. Ordinary Shares,$14.25,-0.22,-1.52%,6521410755.00,Singapore,1994,2321551,Technology,Electrical Products
FORM,FormFactor Inc. FormFactor Inc. Common Stock,$34.38,-4.35,-11.232%,2683835851.00,United States,2003,822573,Technology,Semiconductors
FROG,JFrog Ltd. Ordinary Shares,$21.94,0.87,4.129%,2167671035.00,United States,2020,682768,Technology,Computer Software: Prepackaged Software
FRSH,Freshworks Inc. Class A Common Stock,$13.47,0.32,2.433%,3827787424.00,United States,2021,1877660,Technology,EDP Services
FSLR,First Solar Inc. Common Stock,$68.15,0.02,0.029%,7263712549.00,United States,2006,1079760,Technology,Semiconductors
FTNT,Fortinet Inc. Common Stock,$57.37,0.79,1.396%,45232325482.00,United States,2009,2661718,Technology,Security Systems Services
GDRX,GoodRx Holdings Inc. Class A Common Stock,$6.16,0.24,4.054%,2442180233.00,United States,2020,1274549,Technology,Retail: Computer Software & Peripheral Equipment
GDS,GDS Holdings Limited ADS,$34.19,0.80,2.396%,6515045500.00,China,2016,542883,Technology,Computer Software: Programming Data Processing
GLBE,Global-E Online Ltd. Ordinary Shares,$22.03,1.86,9.222%,3447023526.00,Israel,2021,1140275,Technology,Computer Software: Prepackaged Software
