Date,AAPL,ADBE,ADI,ADSK,AMAT,AMD,ANSS,APP,ASML,AVGO,AZPN,BIDU,BILI,CDNS,CDW,CHKP,COIN,CRWD,CSCO,CTSH,CTXS,DDOG,DOCU,DOX,ENTG,ERIC,FTNT,GOOG,GOOGL,INTC,INTU,JKHY,KLAC,LBTYA,LBTYB,LBTYK,LRCX,MCHP,MDB,META,MPWR,MRVL,MSFT,MTCH,MU,NICE,NLOK,NTAP,NVDA,NXPI,OKTA,ON,PANW,PTC,QCOM,ROKU,SEDG,SNPS,SPLK,SSNC,STX,SWKS,TEAM,TMUS,TTD,TTWO,TXN,VOD,VRSN,WBD,WDAY,WDC,ZBRA,ZI,ZM,ZS
2017-06-01,36.25258 ,141.38000 ,74.14335 ,113.03000 ,43.19593 ,10.93000 ,127.86000 ,,127.71909 ,194.50876 ,62.18000 ,187.25999 ,,34.98000 ,57.74489 ,111.59000 ,,,27.11372 ,63.45156 ,79.43727 ,,,59.99733 ,24.55195 ,6.85100 ,7.84200 ,48.34750 ,49.41450 ,31.76426 ,135.89937 ,99.41020 ,94.84420 ,31.35000 ,31.65000 ,30.19000 ,143.95750 ,38.69341 ,,151.53000 ,94.33767 ,16.98397 ,65.65945 ,18.44512 ,30.58259 ,79.72000 ,16.01210 ,34.35346 ,35.68940 ,103.83212 ,25.30000 ,15.58000 ,138.99001 ,57.79000 ,50.58254 ,,18.45000 ,74.93000 ,61.60000 ,36.50913 ,33.33434 ,99.51721 ,36.51000 ,67.90000 ,5.49600 ,78.12000 ,71.45884 ,21.48881 ,92.28000 ,26.74000 ,101.50000 ,82.57393 ,108.14000 ,,,
2017-06-02,36.78981 ,143.48000 ,72.97090 ,112.91000 ,43.94716 ,10.90000 ,129.49001 ,,128.56859 ,211.04187 ,63.05000 ,187.60001 ,,35.27000 ,57.85826 ,112.86000 ,,,27.25005 ,63.52688 ,79.98373 ,,,60.17936 ,25.18398 ,6.90700 ,7.81000 ,48.78000 ,49.80600 ,31.94016 ,137.32256 ,99.52373 ,95.86735 ,31.75000 ,31.65000 ,30.60000 ,146.07401 ,39.11544 ,,153.61000 ,96.45236 ,16.80248 ,67.21427 ,18.46416 ,31.03000 ,80.41000 ,15.87488 ,34.18000 ,35.51139 ,103.67066 ,24.93000 ,15.86000 ,138.11000 ,59.07000 ,50.54803 ,,18.40000 ,75.82000 ,62.51000 ,37.12369 ,33.59865 ,100.20111 ,36.74000 ,68.32000 ,5.69600 ,77.65000 ,71.58160 ,21.56739 ,92.55000 ,26.49000 ,104.41000 ,82.51081 ,107.75000 ,,,
2017-06-05,36.43008 ,143.59000 ,71.02283 ,110.88000 ,43.87203 ,11.24000 ,129.53999 ,,127.09869 ,209.11829 ,62.69000 ,187.31000 ,,35.52000 ,57.85826 ,113.47000 ,,,27.06259 ,63.61160 ,79.87829 ,,,59.82439 ,25.32983 ,6.82300 ,7.87400 ,49.18400 ,50.19400 ,31.95774 ,137.16866 ,99.27779 ,96.33817 ,31.43000 ,31.65000 ,30.29000 ,147.91965 ,39.19429 ,,153.63000 ,96.65331 ,16.74516 ,67.70134 ,18.22622 ,31.03000 ,80.70000 ,15.90927 ,33.80706 ,36.59176 ,103.73714 ,24.61000 ,16.11000 ,140.52000 ,58.87000 ,50.78964 ,,18.50000 ,75.76000 ,62.56000 ,37.40218 ,32.71243 ,99.95158 ,36.86000 ,67.40000 ,5.56900 ,77.32000 ,71.80958 ,21.56025 ,92.52000 ,26.21000 ,102.87000 ,80.61754 ,105.90000 ,,,
2017-06-06,36.55314 ,143.03000 ,72.24038 ,111.45000 ,43.73118 ,12.03000 ,128.39999 ,,126.58326 ,210.48634 ,62.33000 ,185.75000 ,,35.41000 ,57.99998 ,113.71000 ,,,26.89217 ,63.47040 ,79.42770 ,,,59.66056 ,25.52430 ,6.75766 ,7.81800 ,48.82850 ,49.83400 ,31.77306 ,136.18785 ,97.97265 ,97.60577 ,30.20000 ,31.65000 ,29.18000 ,148.58408 ,39.50966 ,,152.81000 ,96.48107 ,17.01262 ,67.92614 ,18.42609 ,31.38792 ,80.86000 ,16.01509 ,33.56422 ,36.42612 ,103.38572 ,24.85000 ,16.09000 ,139.14000 ,59.26000 ,50.22013 ,,18.45000 ,75.81000 ,62.87000 ,37.25813 ,32.56472 ,99.68356 ,37.71000 ,66.11000 ,5.58400 ,77.66000 ,72.09898 ,21.52453 ,92.07000 ,26.16000 ,102.66000 ,81.08635 ,105.24000 ,,,
2017-06-07,36.77088 ,143.62000 ,73.31060 ,111.17000 ,44.37912 ,12.38000 ,128.34000 ,,127.89091 ,210.83464 ,61.70000 ,187.53000 ,,35.35000 ,58.59520 ,114.95000 ,,,26.93478 ,63.04669 ,79.83035 ,,,59.53315 ,25.67015 ,6.72033 ,7.84000 ,49.04700 ,50.07500 ,31.88739 ,136.51479 ,98.33203 ,98.39348 ,30.05000 ,31.65000 ,28.99000 ,149.77454 ,40.02445 ,,153.12000 ,97.39967 ,16.92666 ,67.80438 ,18.35946 ,32.31256 ,80.18000 ,16.01509 ,34.05858 ,36.86618 ,103.72765 ,25.69000 ,16.25000 ,140.03000 ,59.22000 ,49.64199 ,,18.30000 ,76.07000 ,61.53000 ,36.91243 ,32.60359 ,101.18077 ,36.87000 ,65.92000 ,5.43800 ,79.77000 ,72.68649 ,21.53418 ,92.26000 ,26.41000 ,102.50000 ,81.07734 ,106.57000 ,,,
2017-06-08,36.68095 ,142.63000 ,74.77083 ,111.12000 ,44.53875 ,12.90000 ,126.96000 ,,128.86444 ,211.39012 ,62.02000 ,185.75000 ,,35.44000 ,59.18095 ,115.47000 ,,,26.93478 ,62.96194 ,79.77283 ,,,59.35112 ,25.91324 ,6.78567 ,7.90400 ,49.17050 ,50.21400 ,32.08086 ,137.22638 ,98.26582 ,98.62888 ,29.86000 ,31.65000 ,28.88000 ,152.23846 ,40.28417 ,,154.71001 ,98.89238 ,17.04128 ,67.39225 ,18.18815 ,32.26285 ,80.55000 ,15.93044 ,34.70037 ,39.54116 ,103.74665 ,27.15000 ,16.65000 ,139.22000 ,59.69000 ,50.15109 ,,19.30000 ,76.12000 ,61.42000 ,37.11410 ,33.24882 ,102.59480 ,37.21000 ,65.69000 ,5.54400 ,79.32000 ,73.95801 ,21.28188 ,92.95000 ,26.07000 ,102.84000 ,82.06004 ,108.03000 ,,,
2017-06-09,35.25858 ,138.05000 ,71.28806 ,105.95000 ,42.01274 ,12.28000 ,124.52000 ,,124.11116 ,201.76382 ,58.40000 ,181.07001 ,,34.72000 ,57.43311 ,110.80000 ,,,26.73027 ,62.43467 ,75.08483 ,,,59.24191 ,25.08674 ,6.66433 ,7.46400 ,47.49150 ,48.50600 ,31.40371 ,134.82242 ,97.66999 ,92.33614 ,29.35000 ,31.65000 ,28.24000 ,145.60333 ,38.71659 ,,149.60001 ,93.70614 ,16.48725 ,65.86550 ,17.57902 ,30.42352 ,78.32000 ,15.71880 ,34.27540 ,36.98485 ,103.12926 ,25.09000 ,16.10000 ,134.03999 ,56.99000 ,49.22782 ,,19.05000 ,74.93000 ,58.27000 ,35.75051 ,32.93786 ,98.89800 ,34.62000 ,63.84000 ,5.13600 ,75.30000 ,70.94146 ,21.11863 ,92.33000 ,26.10000 ,97.97000 ,77.54322 ,106.09000 ,,,
2017-06-12,34.41604 ,137.25000 ,72.32201 ,107.44000 ,41.63712 ,12.09000 ,122.40000 ,,123.20439 ,201.20825 ,56.78000 ,180.06000 ,,34.23000 ,57.61261 ,109.66000 ,,,26.62802 ,62.41584 ,77.51029 ,,,58.70490 ,24.21162 ,6.69233 ,7.48600 ,47.14500 ,48.09050 ,31.42129 ,134.37053 ,97.95374 ,91.57558 ,29.41000 ,31.65000 ,28.38000 ,142.58569 ,38.53109 ,,148.44000 ,93.14158 ,16.66875 ,65.35970 ,16.68437 ,31.02006 ,77.76000 ,15.62357 ,33.70299 ,37.07633 ,102.78734 ,23.81000 ,15.73000 ,133.00000 ,56.05000 ,49.60749 ,,19.05000 ,73.89000 ,57.81000 ,35.57767 ,32.29264 ,95.89438 ,34.57000 ,64.67000 ,5.00500 ,73.83000 ,71.07299 ,21.43771 ,91.11000 ,26.59000 ,97.35000 ,78.11121 ,104.14000 ,,,
2017-06-13,34.69294 ,139.09000 ,73.67339 ,107.55000 ,42.11603 ,11.96000 ,122.47000 ,,125.92465 ,201.43210 ,57.19000 ,179.19000 ,,34.40000 ,58.16059 ,111.06000 ,,,27.01147 ,62.54766 ,77.41444 ,,,59.03257 ,24.21162 ,6.74833 ,7.58800 ,47.67000 ,48.52500 ,31.55321 ,134.50511 ,98.55901 ,91.82908 ,29.50000 ,31.65000 ,28.64000 ,143.14865 ,38.73979 ,,150.67999 ,93.84011 ,16.94576 ,66.17460 ,16.80809 ,31.35810 ,79.18000 ,15.50717 ,33.78104 ,37.42985 ,103.63268 ,25.53000 ,15.97000 ,134.75000 ,57.87000 ,49.65062 ,,19.40000 ,74.66000 ,58.09000 ,36.87402 ,32.67356 ,96.90173 ,34.63000 ,64.01000 ,5.01500 ,74.62000 ,71.02039 ,21.51191 ,91.60000 ,26.44000 ,98.67000 ,81.18554 ,104.78000 ,,,
2017-06-14,34.35452 ,138.25000 ,73.41038 ,106.20000 ,41.29906 ,11.77000 ,122.74000 ,,124.22569 ,199.44212 ,55.40000 ,178.20000 ,,34.34000 ,58.25507 ,111.09000 ,,,26.92625 ,62.58532 ,76.66666 ,,,59.23280 ,23.82268 ,6.62699 ,7.57000 ,47.53800 ,48.39650 ,31.24541 ,134.80321 ,98.25637 ,89.23047 ,29.09000 ,31.65000 ,28.26000 ,140.96153 ,38.16933 ,,150.25000 ,92.29955 ,16.75471 ,65.81869 ,16.68437 ,30.88086 ,79.76000 ,15.39078 ,33.04384 ,37.50897 ,103.78463 ,26.55000 ,15.67000 ,133.88000 ,57.60000 ,49.19330 ,,19.80000 ,74.34000 ,57.60000 ,36.94125 ,32.09052 ,94.70215 ,34.63000 ,63.27000 ,4.92400 ,74.38000 ,70.29255 ,21.41545 ,91.66000 ,26.27000 ,98.58000 ,79.15701 ,103.00000 ,,,
