Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ABNB,Airbnb Inc. Class A Common Stock,$116.92,-3.38,-2.81%,69730971898.00,United States,2020,4290919,Consumer Discretionary,Hotels/Resorts
ACM,AECOM Common Stock,$81.18,0.34,0.421%,11279982269.00,United States,2007,820607,Consumer Discretionary,Military/Government/Technical
ACN,Accenture plc Class A Ordinary Shares (Ireland),$272.00,0.34,0.125%,171289318624.00,Ireland,2001,4123556,Consumer Discretionary,Business Services
ADP,Automatic Data Processing Inc. Common Stock,$214.13,0.51,0.239%,88725095688.00,United States,,1720457,Consumer Discretionary,Business Services
AER,AerCap Holdings N.V. Ordinary Shares,$50.32,-0.69,-1.353%,12372658252.00,Netherlands,2006,1659910,Consumer Discretionary,Diversified Commercial Services
AKAM,Akamai Technologies Inc. Common Stock,$76.05,1.00,1.332%,11863800000.00,United States,1999,1210496,Consumer Discretionary,Business Services
AME,AMETEK Inc.,$139.32,0.97,0.701%,31995450590.00,United States,,1053874,Consumer Discretionary,Metal Fabrications
AMZN,Amazon.com Inc. Common Stock,$98.13,-0.58,-0.588%,998658039066.00,United States,1997,56099104,Consumer Discretionary,Catalog/Specialty Distribution
APTV,Aptiv PLC Ordinary Shares,$107.18,-0.52,-0.483%,29040375877.00,United Kingdom,2011,2772162,Consumer Discretionary,Auto Parts:O.E.M.
ATVI,Activision Blizzard Inc. Common Stock,$84.39,4.71,5.911%,66045750670.00,United States,,24508421,Consumer Discretionary,Recreational Games/Products/Toys
AXON,Axon Enterprise Inc. Common Stock,$216.58,0.86,0.399%,15412992369.00,United States,2001,296045,Consumer Discretionary,Military/Government/Technical
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$86.90,0.38,0.439%,230070851982.00,China,2014,20333025,Consumer Discretionary,Catalog/Specialty Distribution
BAH,Booz Allen Hamilton Holding Corporation Common Stock,$90.89,0.82,0.91%,12022554097.00,United States,2010,992489,Consumer Discretionary,Professional Services
BBY,Best Buy Co. Inc. Common Stock,$74.32,-0.27,-0.362%,16444374221.00,United States,,1603992,Consumer Discretionary,Consumer Electronics/Video Chains
BIP,Brookfield Infrastructure Partners LP Limited Partnership Units,$31.79,0.33,1.049%,14568821529.00,Bermuda,,338599,Consumer Discretionary,Marine Transportation
BJ,BJ's Wholesale Club Holdings Inc. Common Stock,$75.18,0.05,0.067%,10106768343.00,United States,2018,1170027,Consumer Discretionary,Department/Specialty Retail Stores
BKNG,Booking Holdings Inc. Common Stock,$2499.33,-39.43,-1.553%,96947481110.00,United States,,329590,Consumer Discretionary,Other Consumer Services
BLDR,Builders FirstSource Inc. Common Stock,$84.46,0.15,0.178%,12430459960.00,United States,2005,2102091,Consumer Discretionary,RETAIL: Building Materials
BN,Brookfield Corporation Class A Limited Voting Shares,$29.97,0.70,2.392%,60723012614.00,Canada,1925,3360671,Consumer Discretionary,Other Consumer Services
BR,Broadridge Financial Solutions Inc. Common Stock,$140.60,2.74,1.988%,16547638050.00,United States,,1051538,Consumer Discretionary,Business Services
BURL,Burlington Stores Inc. Common Stock,$200.68,-2.99,-1.468%,13082583462.00,,2013,794488,Consumer Discretionary,Apparel
BWA,BorgWarner Inc. Common Stock,$47.38,0.76,1.63%,11093117399.00,United States,,2322034,Consumer Discretionary,Auto Parts:O.E.M.
CARR,Carrier Global Corporation Common Stock ,$43.92,-0.38,-0.858%,36637534413.00,,2020,5157611,Consumer Discretionary,Wholesale Distributors
CDW,CDW Corporation Common Stock,$191.71,0.61,0.319%,25955805159.00,United States,2013,580555,Consumer Discretionary,Catalog/Specialty Distribution
CHD,Church & Dwight Company Inc. Common Stock,$85.98,1.66,1.969%,20982619816.00,United States,,829175,Consumer Discretionary,Package Goods/Cosmetics
CHRW,C.H. Robinson Worldwide Inc. Common Stock,$95.48,0.61,0.643%,11124415665.00,United States,1997,892340,Consumer Discretionary,Oil Refining/Marketing
CHTR,Charter Communications Inc. Class A Common Stock New,$343.95,1.78,0.52%,70475071929.00,United States,,964423,Consumer Discretionary,Telecommunications Equipment
CHWY,Chewy Inc. Class A Common Stock,$33.59,-1.34,-3.836%,14220273663.00,,2019,8370219,Consumer Discretionary,Catalog/Specialty Distribution
CL,Colgate-Palmolive Company Common Stock,$73.42,1.59,2.214%,60966410762.00,United States,,5013476,Consumer Discretionary,Package Goods/Cosmetics
CLX,Clorox Company (The) Common Stock,$157.50,2.89,1.869%,19455176160.00,United States,,740688,Consumer Discretionary,Specialty Chemicals
CMCSA,Comcast Corporation Class A Common Stock,$35.92,-0.05,-0.139%,151440743302.00,United States,,20371039,Consumer Discretionary,Telecommunications Equipment
CMG,Chipotle Mexican Grill Inc. Common Stock,$1624.25,-8.28,-0.507%,44864784990.00,United States,2006,228390,Consumer Discretionary,Restaurants
COST,Costco Wholesale Corporation Common Stock,$495.27,7.51,1.54%,219765679660.00,United States,,1635472,Consumer Discretionary,Department/Specialty Retail Stores
CPNG,Coupang Inc. Class A Common Stock,$15.29,0.68,4.654%,27067859906.00,,2021,9967043,Consumer Discretionary,Durable Goods
CPRT,Copart Inc. (DE) Common Stock,$71.43,0.20,0.281%,34022109786.00,United States,1994,1541091,Consumer Discretionary,Other Specialty Stores
CTAS,Cintas Corporation Common Stock,$436.35,3.20,0.739%,44342096012.00,United States,1983,282126,Consumer Discretionary,Business Services
DAL,Delta Air Lines Inc. Common Stock,$31.59,-0.55,-1.711%,20256729111.00,United States,,12647306,Consumer Discretionary,Air Freight/Delivery Services
DD,DuPont de Nemours Inc. Common Stock,$68.60,0.24,0.351%,31441990367.00,,2017,2183256,Consumer Discretionary,Wholesale Distributors
DECK,Deckers Outdoor Corporation Common Stock,$442.75,0.51,0.115%,11670561480.00,United States,1993,263216,Consumer Discretionary,Shoe Manufacturing
DG,Dollar General Corporation Common Stock,$205.81,2.96,1.459%,46013929382.00,United States,2009,1809412,Consumer Discretionary,Department/Specialty Retail Stores
DIS,Walt Disney Company (The) Common Stock,$94.08,-1.75,-1.826%,171866023916.00,United States,,9534649,Consumer Discretionary,Movies/Entertainment
DKS,Dick's Sporting Goods Inc Common Stock,$138.42,-1.42,-1.015%,11545819276.00,United States,2002,1764662,Consumer Discretionary,Other Specialty Stores
DLTR,Dollar Tree Inc. Common Stock,$137.39,1.93,1.425%,30388535570.00,United States,1995,1951941,Consumer Discretionary,Department/Specialty Retail Stores
DPZ,Domino's Pizza Inc Common Stock,$311.51,-3.92,-1.243%,11027260552.00,United States,2004,819858,Consumer Discretionary,Food Distributors
DRI,Darden Restaurants Inc. Common Stock,$152.58,2.06,1.369%,18569794064.00,United States,,1608242,Consumer Discretionary,Restaurants
EA,Electronic Arts Inc. Common Stock,$119.03,2.99,2.577%,32641310752.00,United States,,2527324,Consumer Discretionary,Recreational Games/Products/Toys
EBAY,eBay Inc. Common Stock,$42.66,0.21,0.495%,23149836651.00,United States,1998,4541758,Consumer Discretionary,Catalog/Specialty Distribution
ECL,Ecolab Inc. Common Stock,$160.36,3.32,2.114%,45675027702.00,United States,,1113882,Consumer Discretionary,Package Goods/Cosmetics
EL,Estee Lauder Companies Inc. (The) Common Stock,$241.69,2.97,1.244%,86336549655.00,United States,1995,897067,Consumer Discretionary,Package Goods/Cosmetics
ETSY,Etsy Inc. Common Stock,$106.85,-3.24,-2.943%,13429796565.00,United States,2015,2769830,Consumer Discretionary,Catalog/Specialty Distribution
EXPD,Expeditors International of Washington Inc. Common Stock,$104.49,-0.07,-0.067%,16628160764.00,United States,,877902,Consumer Discretionary,Oil Refining/Marketing
EXPE,Expedia Group Inc. Common Stock,$90.54,-2.11,-2.277%,13884158160.00,United States,,2671225,Consumer Discretionary,Other Consumer Services
F,Ford Motor Company Common Stock,$11.51,0.09,0.788%,45880953220.00,United States,,72425400,Consumer Discretionary,Auto Manufacturing
FDX,FedEx Corporation Common Stock,$217.60,0.68,0.313%,54921617664.00,United States,,1772563,Consumer Discretionary,Air Freight/Delivery Services
FERG,Ferguson plc Ordinary Shares,$129.47,-1.51,-1.153%,26713703183.00,,2021,979159,Consumer Discretionary,Industrial Machinery/Components
FIS,Fidelity National Information Services Inc. Common Stock,$49.70,-0.27,-0.54%,29490958963.00,United States,,7601748,Consumer Discretionary,Business Services
FISV,Fiserv Inc. Common Stock,$112.52,1.42,1.278%,71453359112.00,United States,1986,3377478,Consumer Discretionary,Business Services
FIVE,Five Below Inc. Common Stock,$200.01,0.73,0.366%,11103293137.00,United States,2012,574247,Consumer Discretionary,Department/Specialty Retail Stores
FWONA,Liberty Media Corporation Series A Liberty Formula One Common Stock,$66.51,0.48,0.727%,15551506275.00,United States,,78518,Consumer Discretionary,Movies/Entertainment
FWONK,Liberty Media Corporation Series C Liberty Formula One Common Stock,$73.38,0.59,0.811%,17157863937.00,United States,,555085,Consumer Discretionary,Movies/Entertainment
GE,General Electric Company Common Stock,$91.37,-0.22,-0.24%,99528112348.00,United States,,6658364,Consumer Discretionary,Metal Fabrications
GM,General Motors Company Common Stock,$33.71,-0.03,-0.089%,47013220888.00,United States,2010,11912125,Consumer Discretionary,Auto Manufacturing
GPC,Genuine Parts Company Common Stock,$156.88,2.59,1.679%,22145392431.00,United States,,1619899,Consumer Discretionary,Automotive Aftermarket
GPN,Global Payments Inc. Common Stock,$98.43,-0.01,-0.01%,25902253338.00,United States,,1597481,Consumer Discretionary,Business Services
GRAB,Grab Holdings Limited Class A Ordinary Shares,$2.68,-0.07,-2.545%,10321558710.00,Singapore,,16265626,Consumer Discretionary,Business Services
GWW,W.W. Grainger Inc. Common Stock,$663.60,-1.78,-0.268%,33531218927.00,United States,,270292,Consumer Discretionary,Telecommunications Equipment
H,Hyatt Hotels Corporation Class A Common Stock,$103.60,-2.82,-2.65%,11097511513.00,United States,2009,1136282,Consumer Discretionary,Hotels/Resorts
HD,Home Depot Inc. (The) Common Stock,$283.02,-0.89,-0.313%,288450027946.00,United States,,3851027,Consumer Discretionary,RETAIL: Building Materials
HLT,Hilton Worldwide Holdings Inc. Common Stock ,$131.83,-3.84,-2.83%,35126191035.00,,2016,2925428,Consumer Discretionary,Hotels/Resorts
HMC,Honda Motor Company Ltd. Common Stock,$25.70,0.06,0.234%,43277781355.00,Japan,,760881,Consumer Discretionary,Auto Manufacturing
HTHT,H World Group Limited American Depositary Shares,$47.49,-1.60,-3.259%,15120069932.00,China,2010,847214,Consumer Discretionary,Hotels/Resorts
IHG,Intercontinental Hotels Group American Depositary Shares (Each representing one Ordinary Share),$63.93,-1.15,-1.767%,11212894820.00,United Kingdom,,242007,Consumer Discretionary,Hotels/Resorts
IPG,Interpublic Group of Companies Inc. (The) Common Stock,$35.04,0.01,0.029%,13613906119.00,United States,,4823114,Consumer Discretionary,Advertising
JCI,Johnson Controls International plc Ordinary Share,$58.23,-0.48,-0.818%,40014118379.00,Switzerland,,4130887,Consumer Discretionary,Auto Parts:O.E.M.
