Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ABBV,AbbVie Inc. Common Stock,$153.93,0.13,0.085%,272011255076.00,United States,2012,5479930,Health Care,Other Pharmaceuticals
ABC,AmerisourceBergen Corporation Common Stock,$140.71,-2.43,-1.698%,29473686476.00,United States,,1030098,Health Care,Other Pharmaceuticals
ABMD,ABIOMED Inc. Common Stock,$256.66,2.10,0.825%,11710315005.00,United States,,205035,Health Care,Medical/Dental Instruments
ABT,Abbott Laboratories Common Stock,$109.30,-0.92,-0.835%,191377992188.00,United States,,4752359,Health Care,Medical/Dental Instruments
ALC,Alcon Inc. Ordinary Shares,$71.11,-0.47,-0.657%,34850085219.00,Switzerland,2019,651580,Health Care,Ophthalmic Goods
ALGN,Align Technology Inc. Common Stock,$254.11,6.77,2.737%,20025277548.00,United States,2001,765749,Health Care,Industrial Specialties
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,$150.73,2.48,1.673%,18210227748.00,United States,2004,800217,Health Care,Biotechnology: Pharmaceutical Preparations
AMGN,Amgen Inc. Common Stock,$246.73,1.18,0.481%,131803149469.00,United States,1983,2483738,Health Care,Biotechnology: Pharmaceutical Preparations
ARGX,argenx SE American Depositary Shares,$382.11,4.98,1.32%,20725127495.00,Netherlands,2017,336929,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AZN,AstraZeneca PLC American Depositary Shares,$65.51,-0.44,-0.667%,203013028920.00,United Kingdom,,9345026,Health Care,Biotechnology: Pharmaceutical Preparations
BAX,Baxter International Inc. Common Stock,$65.39,-0.10,-0.153%,32925740254.00,United States,,1937565,Health Care,Medical/Dental Instruments
BDX,Becton Dickinson and Company Common Stock,$247.93,-3.87,-1.537%,70676073468.00,United States,,777657,Health Care,Medical/Dental Instruments
BGNE,BeiGene Ltd. American Depositary Shares,$194.48,27.53,16.49%,20097682222.00,Cayman Islands,2016,475901,Health Care,Biotechnology: Pharmaceutical Preparations
BHVN,Biohaven Pharmaceutical Holding Company Ltd. Common Shares,$146.00,0.69,0.475%,10372304426.00,United States,2017,1245811,Health Care,Biotechnology: Pharmaceutical Preparations
BIIB,Biogen Inc. Common Stock,$212.58,1.95,0.926%,31132768924.00,United States,,898318,Health Care,Biotechnology: Pharmaceutical Preparations
BMRN,BioMarin Pharmaceutical Inc. Common Stock,$86.36,1.38,1.624%,15976198253.00,United States,1999,933041,Health Care,Biotechnology: Pharmaceutical Preparations
BMY,Bristol-Myers Squibb Company Common Stock,$75.96,-0.88,-1.145%,161723722025.00,United States,,12589842,Health Care,Biotechnology: Pharmaceutical Preparations
BNTX,BioNTech SE American Depositary Share,$161.03,3.53,2.241%,39133384352.00,Germany,2019,1651658,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BSX,Boston Scientific Corporation Common Stock,$37.76,-0.25,-0.658%,53980608474.00,United States,,5790949,Health Care,Medical/Dental Instruments
CAH,Cardinal Health Inc. Common Stock,$52.25,-0.85,-1.601%,14234329665.00,United States,,1703532,Health Care,Other Pharmaceuticals
CI,Cigna Corporation Common Stock,$264.84,-3.19,-1.19%,84026701028.00,United States,,2331912,Health Care,Medical Specialities
CNC,Centene Corporation Common Stock,$84.75,-1.46,-1.694%,49569172148.00,United States,,2776392,Health Care,Medical Specialities
COO,The Cooper Companies Inc. Common Stock,$315.89,-2.62,-0.823%,15584902878.00,United States,,284306,Health Care,Ophthalmic Goods
CTLT,Catalent Inc. Common Stock,$105.99,-1.03,-0.962%,18994810990.00,United States,2014,872961,Health Care,Biotechnology: Pharmaceutical Preparations
CVS,CVS Health Corporation Common Stock,$92.53,-1.41,-1.501%,121335428617.00,United States,,4763717,Health Care,Managed Health Care
DGX,Quest Diagnostics Incorporated Common Stock,$133.58,-3.10,-2.268%,15677620440.00,United States,,746140,Health Care,Medical Specialities
DHR,Danaher Corporation Common Stock,$255.51,-2.54,-0.984%,185775384481.00,United States,,1622860,Health Care,Medical Specialities
DXCM,DexCom Inc. Common Stock,$78.46,0.83,1.069%,30795842813.00,United States,2005,2086508,Health Care,Medical Specialities
ELV,Elevance Health Inc. Common Stock,$476.94,-9.04,-1.86%,114982974973.00,United States,,1043099,Health Care,Medical Specialities
EW,Edwards Lifesciences Corporation Common Stock,$97.97,0.58,0.596%,60913017576.00,United States,,2097400,Health Care,Industrial Specialties
FMS,Fresenius Medical Care AG Common Stock,$24.59,-0.52,-2.071%,14411081581.00,Germany,,383852,Health Care,Medical/Nursing Services
GILD,Gilead Sciences Inc. Common Stock,$62.34,-0.02,-0.032%,78193900348.00,United States,1992,5216038,Health Care,Biotechnology: Pharmaceutical Preparations
GMAB,Genmab A/S ADS,$33.94,0.51,1.526%,22212901185.00,Denmark,2019,481827,Health Care,Biotechnology: Commercial Physical & Biological Resarch
