Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$173.00,0.12,0.069%,2704722136000.00,United States,1980,55934053,Technology,Computer Manufacturing
ADBE,Adobe Inc. Common Stock,$540.41,-0.55,-0.102%,246048673000.00,United States,1986,2171892,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,$163.87,-2.65,-1.591%,81658707970.00,United States,,2757052,Technology,Semiconductors
ADP,Automatic Data Processing Inc. Common Stock,$241.16,-0.52,-0.215%,99354753569.00,United States,,1162431,Technology,EDP Services
ADSK,Autodesk Inc. Common Stock,$199.72,-2.97,-1.465%,42692872583.00,United States,,1012510,Technology,Computer Software: Prepackaged Software
AMAT,Applied Materials Inc. Common Stock,$134.23,0.11,0.082%,112287938954.00,United States,1972,3818297,Technology,Industrial Machinery/Components
AMD,Advanced Micro Devices Inc. Common Stock,$100.01,-1.80,-1.768%,161583294714.00,United States,,50749628,Technology,Semiconductors
AMX,America Movil S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares,$16.79,-0.04,-0.238%,53161337500.00,Mexico,2023,3023853,Telecommunications,Telecommunications Equipment
ANET,Arista Networks Inc. Common Stock,$186.52,0.41,0.22%,57742979108.00,United States,2014,1680463,Technology,Computer peripheral equipment
ANSS,ANSYS Inc. Common Stock,$275.94,-3.78,-1.351%,23949128684.00,United States,1996,429487,Technology,Computer Software: Prepackaged Software
APH,Amphenol Corporation Common Stock,$79.18,-0.68,-0.851%,47227224157.00,United States,,3265146,Technology,Electrical Products
APP,Applovin Corporation Class A Common Stock,$37.64,0.06,0.16%,13091027626.00,United States,2021,1440679,Technology,EDP Services
ASML,ASML Holding N.V. New York Registry Shares,$587.79,7.69,1.326%,231935709892.00,Netherlands,1995,904140,Technology,Industrial Machinery/Components
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) ,$7.63,-0.08,-1.038%,16661031671.00,Taiwan,2018,4768525,Technology,Semiconductors
AVGO,Broadcom Inc. Common Stock,$862.22,8.59,1.006%,355868806259.00,United States,2009,1645095,Technology,Semiconductors
AZPN,Aspen Technology Inc. Common Stock,$178.68,-2.24,-1.238%,11901751511.00,United States,,169836,Technology,EDP Services
BCE,BCE Inc. Common Stock,$37.37,0.44,1.191%,34092261119.00,Canada,,2096196,Telecommunications,Telecommunications Equipment
BIDU,Baidu Inc. ADS,$107.40,0.94,0.883%,37544158888.00,China,2005,2053479,Technology,Computer Software: Programming Data Processing
BILL,BILL Holdings Inc. Common Stock,$101.94,0.94,0.931%,10867375374.00,United States,2019,1541848,Technology,EDP Services
BSY,Bentley Systems Incorporated Class B Common Stock,$49.74,-0.28,-0.56%,14671622568.00,United States,2020,760281,Technology,Retail: Computer Software & Peripheral Equipment
CDAY,Ceridian HCM Holding Inc. Common Stock,$68.99,-0.74,-1.061%,10735709962.00,United States,2018,954801,Technology,Computer Software: Prepackaged Software
CDNS,Cadence Design Systems Inc. Common Stock,$239.92,1.28,0.536%,65207856800.00,United States,,1338862,Technology,Computer Software: Prepackaged Software
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,$132.43,-2.22,-1.649%,15992246800.00,Israel,1996,680139,Technology,Computer Software: Prepackaged Software
CHT,Chunghwa Telecom Co. Ltd.,$35.53,-0.18,-0.504%,27562207592.00,Taiwan,,109873,Telecommunications,Telecommunications Equipment
CHTR,Charter Communications Inc. Class A Common Stock New,$430.27,0.62,0.144%,64398916214.00,United States,,785450,Telecommunications,Cable & Other Pay Television Services
CMCSA,Comcast Corporation Class A Common Stock,$42.94,0.08,0.187%,177133207757.00,United States,,14469041,Telecommunications,Cable & Other Pay Television Services
CRM,Salesforce Inc. Common Stock,$202.00,-1.73,-0.849%,196546000000.00,United States,2004,4563081,Technology,Computer Software: Prepackaged Software
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,$179.08,0.32,0.179%,42762191035.00,United States,2019,2533006,Technology,EDP Services
CSCO,Cisco Systems Inc. Common Stock (DE),$52.20,-0.73,-1.379%,211663576273.00,United States,1990,17757243,Telecommunications,Computer Communications Equipment
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,$65.02,-0.72,-1.095%,32837791308.00,United States,1998,2193896,Technology,EDP Services
DDOG,Datadog Inc. Class A Common Stock,$85.68,-0.40,-0.465%,27845953647.00,United States,2019,3014710,Technology,Computer Software: Prepackaged Software
DELL,Dell Technologies Inc. Class C Common Stock ,$65.54,-0.37,-0.561%,47413382182.00,United States,2018,2945046,Technology,Computer Manufacturing
DT,Dynatrace Inc. Common Stock,$46.40,0.08,0.173%,13608658320.00,United States,2019,1619192,Technology,Computer Software: Prepackaged Software
EA,Electronic Arts Inc. Common Stock,$126.34,-1.10,-0.863%,34226978745.00,United States,,1363854,Technology,Computer Software: Prepackaged Software
EMR,Emerson Electric Company Common Stock,$90.16,-1.31,-1.432%,51526440000.00,United States,,2790838,Technology,Consumer Electronics/Appliances
ENPH,Enphase Energy Inc. Common Stock,$96.29,-2.60,-2.629%,13129658866.00,United States,2012,6265549,Technology,Semiconductors
ENTG,Entegris Inc. Common Stock,$89.43,-1.27,-1.40%,13424183928.00,United States,2000,1147559,Technology,Semiconductors
EPAM,EPAM Systems Inc. Common Stock,$222.33,-1.00,-0.448%,12886419106.00,United States,2012,290958,Technology,EDP Services
ERIC,Ericsson American Depositary Shares,$4.43,-0.06,-1.336%,14770292186.00,Sweden,,9024382,Technology,Radio And Television Broadcasting And Communications Equipment
ETN,Eaton Corporation PLC Ordinary Shares,$195.47,1.48,0.763%,77992530000.00,Ireland,,2759394,Technology,Industrial Machinery/Components
FDS,FactSet Research Systems Inc. Common Stock,$431.68,1.56,0.363%,16541755285.00,United States,2000,166710,Technology,Computer Software: Programming Data Processing
FLEX,Flex Ltd. Ordinary Shares,$23.72,-0.40,-1.658%,10593991491.00,Singapore,1994,5685975,Technology,Electrical Products
FSLR,First Solar Inc. Common Stock,$151.32,0.55,0.365%,16165726540.00,United States,2006,1552245,Technology,Semiconductors
FTNT,Fortinet Inc. Common Stock,$56.10,-0.26,-0.461%,44057402166.00,United States,2009,4084703,Technology,Computer peripheral equipment
GDDY,GoDaddy Inc. Class A Common Stock,$73.68,-0.81,-1.087%,10839775370.00,United States,2015,876905,Technology,EDP Services
GE,General Electric Company Common Stock,$106.69,0.61,0.575%,116119069411.00,United States,,5821167,Technology,Consumer Electronics/Appliances
GEHC,GE HealthCare Technologies Inc. Common Stock ,$63.99,-0.06,-0.094%,29105097250.00,United States,,2412547,Technology,Computer Software: Prepackaged Software
GEN,Gen Digital Inc. Common Stock,$16.88,-0.28,-1.632%,10793732059.00,United States,,3274495,Technology,Computer Software: Prepackaged Software
GFS,GlobalFoundries Inc. Ordinary Shares,$53.95,-0.41,-0.754%,29551652000.00,United States,2021,945677,Technology,Semiconductors
GLW,Corning Incorporated Common Stock,$26.93,-0.24,-0.883%,22970803133.00,United States,,4442071,Technology,Industrial Machinery/Components
GOOG,Alphabet Inc. Class C Capital Stock,$137.90,1.16,0.848%,1738781100000.00,United States,2004,20744421,Technology,Computer Software: Programming Data Processing
GOOGL,Alphabet Inc. Class A Common Stock,$136.50,0.90,0.664%,1721128500000.00,United States,2004,26273781,Technology,Computer Software: Programming Data Processing
HPE,Hewlett Packard Enterprise Company Common Stock,$15.20,-0.03,-0.197%,19499543729.00,United States,2015,13467916,Technology,Retail: Computer Software & Peripheral Equipment
HPQ,HP Inc. Common Stock,$25.88,-0.13,-0.50%,25576395793.00,United States,,4582681,Technology,Computer Manufacturing
HUBB,Hubbell Inc Common Stock,$280.38,0.51,0.182%,15037064266.00,United States,2015,523507,Technology,Industrial Machinery/Components
HUBS,HubSpot Inc. Common Stock,$431.02,1.95,0.454%,21557605813.00,United States,2014,595513,Technology,Computer Software: Prepackaged Software
IBM,International Business Machines Corporation Common Stock,$136.38,-0.78,-0.569%,124243031011.00,United States,,3456876,Technology,Computer Manufacturing
INFY,Infosys Limited American Depositary Shares,$16.78,-0.19,-1.12%,70589074396.00,India,,8505819,Technology,EDP Services
INTC,Intel Corporation Common Stock,$33.85,-1.07,-3.064%,141763800000.00,United States,,53895263,Technology,Semiconductors
INTU,Intuit Inc. Common Stock,$504.03,-2.78,-0.549%,141259192257.00,United States,1993,1523250,Technology,Computer Software: Prepackaged Software
IOT,Samsara Inc. Class A Common Stock,$23.15,0.33,1.446%,12384140120.00,United States,2021,1659684,Technology,Retail: Computer Software & Peripheral Equipment
