Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$141.56,2.63,1.893%,2454273850400.00,United States,1980,73351966,Technology,Computer Manufacturing
ADBE,Adobe Inc. Common Stock,$376.49,8.01,2.174%,176197320000.00,United States,1986,3120521,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,$143.07,0.16,0.112%,74368648426.00,United States,,3792499,Technology,Semiconductors
ADSK,Autodesk Inc. Common Stock,$176.90,3.04,1.749%,38435453065.00,United States,,1833106,Technology,Computer Software: Prepackaged Software
AMAT,Applied Materials Inc. Common Stock,$86.00,-0.27,-0.313%,74815465822.00,United States,1972,9549948,Technology,Semiconductors
AMD,Advanced Micro Devices Inc. Common Stock,$75.20,1.53,2.077%,122377846120.00,United States,,95588842,Technology,Semiconductors
AMOV,America Movil S.A.B. de C.V. Class A American Depositary Shares,$19.75,-0.60,-2.948%,63077085875.00,Mexico,,849,Telecommunications,Telecommunications Equipment
AMX,America Movil S.A.B. de C.V. American Depository Receipt Series L,$20.15,-0.37,-1.803%,64354596475.00,Mexico,,1403882,Telecommunications,Telecommunications Equipment
ANET,Arista Networks Inc. Common Stock,$96.15,2.74,2.933%,29639539179.00,,2014,2065044,Technology,Computer peripheral equipment
ANSS,ANSYS Inc. Common Stock,$245.19,5.00,2.082%,21329107523.00,United States,1996,411897,Technology,Computer Software: Prepackaged Software
APH,Amphenol Corporation Common Stock,$63.95,0.20,0.314%,38187008610.00,United States,,2237211,Technology,Electrical Products
APP,Applovin Corporation Class A Common Stock,$35.36,0.38,1.086%,13367704120.00,United States,2021,2995951,Technology,EDP Services
ASML,ASML Holding N.V. New York Registry Shares,$432.40,-17.43,-3.875%,174084937461.00,Netherlands,1995,2778278,Technology,Industrial Machinery/Components
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) ,$5.06,0.05,0.998%,10830763845.00,,2018,6600863,Technology,Semiconductors
AVGO,Broadcom Inc. Common Stock,$476.30,-1.54,-0.322%,192338370510.00,United States,2009,2071084,Technology,Semiconductors
AZPN,Aspen Technology Inc. Common Stock,$191.05,-0.19,-0.099%,11877328033.00,United States,,155040,Technology,EDP Services
BIDU,Baidu Inc. ADS,$154.25,2.76,1.822%,53301166630.00,China,2005,3202109,Technology,Computer Software: Programming Data Processing
BILI,Bilibili Inc. American Depositary Shares,$27.71,0.97,3.628%,10823653106.00,China,2018,3909723,Technology,EDP Services
BILL,Bill.com Holdings Inc. Common Stock,$126.45,12.76,11.224%,13184672667.00,,2019,2102282,Technology,Computer Software: Prepackaged Software
BKI,Black Knight Inc. Common Stock ,$65.12,-1.06,-1.602%,10156499017.00,,2017,706799,Technology,Computer Software: Prepackaged Software
BSY,Bentley Systems Incorporated Class B Common Stock,$35.35,1.71,5.083%,10164337364.00,United States,2020,594878,Technology,Retail: Computer Software & Peripheral Equipment
CDNS,Cadence Design Systems Inc. Common Stock,$151.64,2.00,1.337%,41816094760.00,United States,,1456394,Technology,Computer Software: Prepackaged Software
CDW,CDW Corporation Common Stock,$157.75,0.75,0.478%,21314504830.00,United States,2013,701820,Technology,EDP Services
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,$123.12,-0.71,-0.573%,15773342000.00,Israel,1996,922124,Technology,Computer Software: Prepackaged Software
