Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AEE,Ameren Corporation Common Stock,$87.99,-4.20,-4.556%,22721350263.00,United States,,1883540,Utilities,Power Generation
AEP,American Electric Power Company Inc. Common Stock,$93.58,-4.37,-4.461%,48057463990.00,United States,,3654919,Utilities,Electric Utilities: Central
AES,The AES Corporation Common Stock,$21.18,-0.30,-1.397%,14145267281.00,United States,,4844758,Utilities,Electric Utilities: Central
AGR,Avangrid Inc. Common Stock,$45.65,-2.18,-4.558%,17654533733.00,United States,2015,619105,Utilities,Electric Utilities: Central
ATO,Atmos Energy Corporation Common Stock,$110.61,-4.54,-3.943%,15376450477.00,United States,,838140,Utilities,Oil/Gas Transmission
AWK,American Water Works Company Inc. Common Stock,$149.65,-3.78,-2.464%,27199377753.00,United States,2008,1228886,Utilities,Water Supply
CEG,Constellation Energy Corporation Common Stock ,$54.94,-2.66,-4.618%,17948839599.00,United States,,2696679,Utilities,Power Generation
CMS,CMS Energy Corporation Common Stock,$66.11,-2.92,-4.23%,19180434999.00,United States,,1722252,Utilities,Power Generation
CNP,CenterPoint Energy Inc (Holding Co) Common Stock,$29.09,-1.41,-4.623%,18310665214.00,United States,,5260561,Utilities,Electric Utilities: Central
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,$43.05,-1.06,-2.403%,20837367645.00,United States,2007,199648,Utilities,Oil/Gas Transmission
D,Dominion Energy Inc. Common Stock,$79.43,-1.81,-2.228%,64439204218.00,United States,,4957652,Utilities,Electric Utilities: Central
DTE,DTE Energy Company Common Stock,$124.19,-4.97,-3.848%,24060467026.00,United States,,827819,Utilities,Electric Utilities: Central
DUK,Duke Energy Corporation (Holding Company) Common Stock,$106.34,-3.28,-2.992%,81871217256.00,United States,,2951963,Utilities,Power Generation
EBR,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share),$8.38,-0.33,-3.789%,18407560375.00,,2016,4334723,Utilities,Electric Utilities: Central
ED,Consolidated Edison Inc. Common Stock,$92.69,-4.55,-4.679%,32839597803.00,United States,,2973357,Utilities,Power Generation
EIX,Edison International Common Stock,$61.69,-2.06,-3.231%,23516243854.00,United States,,1842276,Utilities,Electric Utilities: Central
ELP,Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing one Unit consisting one Common Share and four non-voting Class B Preferred Shares),$6.15,-0.20,-3.15%,16829805563.00,Brazil,2021,648615,Utilities,Electric Utilities: Central
EPD,Enterprise Products Partners L.P. Common Stock,$24.00,-0.63,-2.558%,52330875456.00,United States,,11012332,Utilities,Natural Gas Distribution
ES,Eversource Energy (D/B/A) Common Stock,$83.37,-3.78,-4.337%,28752490198.00,United States,,1820580,Utilities,Electric Utilities: Central
ET,Energy Transfer LP Common Units ,$9.88,-0.14,-1.397%,30485072462.00,United States,,32246039,Utilities,Natural Gas Distribution
ETR,Entergy Corporation Common Stock,$109.76,-5.54,-4.805%,22322364046.00,United States,,1918219,Utilities,Electric Utilities: Central
EVRG,Evergy Inc. Common Stock,$64.01,-2.80,-4.191%,14688904447.00,,2018,1023416,Utilities,Power Generation
EXC,Exelon Corporation Common Stock,$43.62,-2.45,-5.318%,42756742970.00,United States,,8065009,Utilities,Power Generation
FE,FirstEnergy Corp. Common Stock,$37.63,-1.70,-4.322%,21484180944.00,United States,,3081412,Utilities,Electric Utilities: Central
FTS,Fortis Inc. Common Shares,$46.48,-1.64,-3.408%,22175608000.00,,2016,988886,Utilities,Electric Utilities: Central
KMI,Kinder Morgan Inc. Common Stock,$16.58,-0.40,-2.356%,37594694465.00,United States,2011,19389654,Utilities,Natural Gas Distribution
LNG,Cheniere Energy Inc. Common Stock,$131.98,0.03,0.023%,33541272347.00,United States,2001,1968763,Utilities,Oil/Gas Transmission
LNT,Alliant Energy Corporation Common Stock,$57.92,-2.15,-3.579%,14527131126.00,United States,,1425434,Utilities,Power Generation
NEE,NextEra Energy Inc. Common Stock,$79.11,-1.45,-1.80%,155411571742.00,United States,,11279200,Utilities,Electric Utilities: Central
NGG,National Grid Transco PLC National Grid PLC (NEW) American Depositary Shares,$64.74,-1.23,-1.864%,47256474731.00,United Kingdom,,597911,Utilities,Natural Gas Distribution
NI,NiSource Inc Common Stock,$28.55,-1.50,-4.992%,11585536069.00,United States,,4769273,Utilities,Power Generation
OKE,ONEOK Inc. Common Stock,$55.10,-1.65,-2.907%,24608543308.00,United States,,3492447,Utilities,Oil & Gas Production
PCG,Pacific Gas & Electric Co. Common Stock,$9.84,-0.40,-3.906%,19556770620.00,United States,,15257028,Utilities,Power Generation
PEG,Public Service Enterprise Group Incorporated Common Stock,$62.56,-2.11,-3.263%,31233635283.00,United States,,2115476,Utilities,Power Generation
PPL,PPL Corporation Common Stock,$26.83,-0.93,-3.35%,19744277758.00,United States,,5196851,Utilities,Electric Utilities: Central
RSG,Republic Services Inc. Common Stock,$129.56,-3.48,-2.616%,40926824615.00,United States,1998,1224237,Utilities,Environmental Services
SO,Southern Company (The) Common Stock,$70.82,-2.32,-3.172%,75247997484.00,United States,,5903041,Utilities,Power Generation
SRE,DBA Sempra Common Stock,$146.99,-6.57,-4.278%,46199652263.00,United States,,1662599,Utilities,Oil/Gas Transmission
TRGP,Targa Resources Inc. Common Stock,$58.96,-2.04,-3.344%,13442165994.00,United States,2010,2172407,Utilities,Natural Gas Distribution
TRP,TC Energy Corporation Common Stock,$51.30,-1.31,-2.49%,50427900000.00,Canada,,2172987,Utilities,Natural Gas Distribution
WCN,Waste Connections Inc. Common Shares,$124.62,-0.70,-0.559%,32047900057.00,Canada,,1240049,Utilities,Power Generation
WEC,WEC Energy Group Inc. Common Stock,$98.86,-3.72,-3.626%,31183857735.00,United States,,1394734,Utilities,Power Generation
WM,Waste Management Inc. Common Stock,$151.70,-3.95,-2.538%,62986905693.00,United States,,1435279,Utilities,Environmental Services
WMB,Williams Companies Inc. (The) Common Stock,$30.16,-1.13,-3.611%,36735229886.00,United States,,12064253,Utilities,Natural Gas Distribution
WTRG,Essential Utilities Inc. Common Stock,$46.08,-1.36,-2.867%,12076078740.00,United States,,902869,Utilities,Water Supply
XEL,Xcel Energy Inc. Common Stock,$69.89,-2.74,-3.773%,38065818019.00,United States,,3667386,Utilities,Power Generation
