Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$173.00,0.12,0.069%,2704722136000.00,United States,1980,55934053,Technology,Computer Manufacturing
ADBE,Adobe Inc. Common Stock,$540.41,-0.55,-0.102%,246048673000.00,United States,1986,2171892,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,$163.87,-2.65,-1.591%,81658707970.00,United States,,2757052,Technology,Semiconductors
ADP,Automatic Data Processing Inc. Common Stock,$241.16,-0.52,-0.215%,99354753569.00,United States,,1162431,Technology,EDP Services
ADSK,Autodesk Inc. Common Stock,$199.72,-2.97,-1.465%,42692872583.00,United States,,1012510,Technology,Computer Software: Prepackaged Software
AMAT,Applied Materials Inc. Common Stock,$134.23,0.11,0.082%,112287938954.00,United States,1972,3818297,Technology,Industrial Machinery/Components
AMD,Advanced Micro Devices Inc. Common Stock,$100.01,-1.80,-1.768%,161583294714.00,United States,,50749628,Technology,Semiconductors
ANSS,ANSYS Inc. Common Stock,$275.94,-3.78,-1.351%,23949128684.00,United States,1996,429487,Technology,Computer Software: Prepackaged Software
APP,Applovin Corporation Class A Common Stock,$37.64,0.06,0.16%,13091027626.00,United States,2021,1440679,Technology,EDP Services
ASML,ASML Holding N.V. New York Registry Shares,$587.79,7.69,1.326%,231935709892.00,Netherlands,1995,904140,Technology,Industrial Machinery/Components
AVGO,Broadcom Inc. Common Stock,$862.22,8.59,1.006%,355868806259.00,United States,2009,1645095,Technology,Semiconductors
AZPN,Aspen Technology Inc. Common Stock,$178.68,-2.24,-1.238%,11901751511.00,United States,,169836,Technology,EDP Services
BIDU,Baidu Inc. ADS,$107.40,0.94,0.883%,37544158888.00,China,2005,2053479,Technology,Computer Software: Programming Data Processing
BSY,Bentley Systems Incorporated Class B Common Stock,$49.74,-0.28,-0.56%,14671622568.00,United States,2020,760281,Technology,Retail: Computer Software & Peripheral Equipment
CDNS,Cadence Design Systems Inc. Common Stock,$239.92,1.28,0.536%,65207856800.00,United States,,1338862,Technology,Computer Software: Prepackaged Software
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,$132.43,-2.22,-1.649%,15992246800.00,Israel,1996,680139,Technology,Computer Software: Prepackaged Software
CHTR,Charter Communications Inc. Class A Common Stock New,$430.27,0.62,0.144%,64398916214.00,United States,,785450,Telecommunications,Cable & Other Pay Television Services
CMCSA,Comcast Corporation Class A Common Stock,$42.94,0.08,0.187%,177133207757.00,United States,,14469041,Telecommunications,Cable & Other Pay Television Services
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,$179.08,0.32,0.179%,42762191035.00,United States,2019,2533006,Technology,EDP Services
CSCO,Cisco Systems Inc. Common Stock (DE),$52.20,-0.73,-1.379%,211663576273.00,United States,1990,17757243,Telecommunications,Computer Communications Equipment
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,$65.02,-0.72,-1.095%,32837791308.00,United States,1998,2193896,Technology,EDP Services
DDOG,Datadog Inc. Class A Common Stock,$85.68,-0.40,-0.465%,27845953647.00,United States,2019,3014710,Technology,Computer Software: Prepackaged Software
EA,Electronic Arts Inc. Common Stock,$126.34,-1.10,-0.863%,34226978745.00,United States,,1363854,Technology,Computer Software: Prepackaged Software
ENPH,Enphase Energy Inc. Common Stock,$96.29,-2.60,-2.629%,13129658866.00,United States,2012,6265549,Technology,Semiconductors
ENTG,Entegris Inc. Common Stock,$89.43,-1.27,-1.40%,13424183928.00,United States,2000,1147559,Technology,Semiconductors
ERIC,Ericsson American Depositary Shares,$4.43,-0.06,-1.336%,14770292186.00,Sweden,,9024382,Technology,Radio And Television Broadcasting And Communications Equipment
FLEX,Flex Ltd. Ordinary Shares,$23.72,-0.40,-1.658%,10593991491.00,Singapore,1994,5685975,Technology,Electrical Products
FSLR,First Solar Inc. Common Stock,$151.32,0.55,0.365%,16165726540.00,United States,2006,1552245,Technology,Semiconductors
FTNT,Fortinet Inc. Common Stock,$56.10,-0.26,-0.461%,44057402166.00,United States,2009,4084703,Technology,Computer peripheral equipment
GEHC,GE HealthCare Technologies Inc. Common Stock ,$63.99,-0.06,-0.094%,29105097250.00,United States,,2412547,Technology,Computer Software: Prepackaged Software
GEN,Gen Digital Inc. Common Stock,$16.88,-0.28,-1.632%,10793732059.00,United States,,3274495,Technology,Computer Software: Prepackaged Software
GFS,GlobalFoundries Inc. Ordinary Shares,$53.95,-0.41,-0.754%,29551652000.00,United States,2021,945677,Technology,Semiconductors
GOOG,Alphabet Inc. Class C Capital Stock,$137.90,1.16,0.848%,1738781100000.00,United States,2004,20744421,Technology,Computer Software: Programming Data Processing
GOOGL,Alphabet Inc. Class A Common Stock,$136.50,0.90,0.664%,1721128500000.00,United States,2004,26273781,Technology,Computer Software: Programming Data Processing
INTC,Intel Corporation Common Stock,$33.85,-1.07,-3.064%,141763800000.00,United States,,53895263,Technology,Semiconductors
INTU,Intuit Inc. Common Stock,$504.03,-2.78,-0.549%,141259192257.00,United States,1993,1523250,Technology,Computer Software: Prepackaged Software
JKHY,Jack Henry & Associates Inc. Common Stock,$143.10,-0.02,-0.014%,10437017246.00,United States,1985,635341,Technology,Retail: Computer Software & Peripheral Equipment
KLAC,KLA Corporation Common Stock,$462.56,0.12,0.026%,63241237429.00,United States,1980,620107,Technology,Electronic Components
LBRDA,Liberty Broadband Corporation Class A Common Stock,$89.35,-0.47,-0.523%,13064140664.00,United States,,108048,Telecommunications,Cable & Other Pay Television Services
LBRDK,Liberty Broadband Corporation Class C Common Stock,$89.33,-0.60,-0.667%,13061216402.00,United States,,402539,Telecommunications,Cable & Other Pay Television Services
LOGI,Logitech International S.A. Ordinary Shares,$68.35,-0.82,-1.185%,10849722479.00,United States,1997,1039356,Technology,Computer peripheral equipment
LRCX,Lam Research Corporation Common Stock,$599.58,-0.77,-0.128%,79451365686.00,United States,1984,810196,Technology,Industrial Machinery/Components
MANH,Manhattan Associates Inc. Common Stock,$184.40,-6.05,-3.177%,11371727089.00,United States,1998,735256,Technology,Computer Software: Prepackaged Software
MCHP,Microchip Technology Incorporated Common Stock,$74.39,-0.97,-1.287%,40493027536.00,United States,1993,3587507,Technology,Semiconductors
MDB,MongoDB Inc. Class A Common Stock,$342.28,-4.00,-1.155%,24419834822.00,United States,2017,850561,Technology,Computer Software: Prepackaged Software
META,Meta Platforms Inc. Class A Common Stock,$314.01,5.36,1.737%,804723485996.00,United States,2012,17773048,Technology,Computer Software: Programming Data Processing
MPWR,Monolithic Power Systems Inc. Common Stock,$413.49,-6.55,-1.559%,19755725220.00,United States,2004,624166,Technology,Semiconductors
MRVL,Marvell Technology Inc. Common Stock,$49.02,-0.45,-0.91%,42294456000.00,United States,2000,8741839,Technology,Semiconductors
MSFT,Microsoft Corporation Common Stock,$329.32,2.65,0.811%,2446769788929.00,United States,1986,24336413,Technology,Computer Software: Prepackaged Software
MU,Micron Technology Inc. Common Stock,$66.88,-0.34,-0.506%,73436545420.00,United States,,9476669,Technology,Semiconductors
NTAP,NetApp Inc. Common Stock,$73.27,-1.02,-1.373%,15298127927.00,United States,1995,1616975,Technology,Electronic Components
NTES,NetEase Inc. American Depositary Shares,$100.87,0.25,0.248%,65033382406.00,China,,1255275,Technology,Computer Software: Prepackaged Software
NVDA,NVIDIA Corporation Common Stock,$429.75,15.88,3.837%,1061482500000.00,United States,1999,47718314,Technology,Semiconductors
NXPI,NXP Semiconductors N.V. Common Stock,$182.35,-3.41,-1.836%,47010219135.00,Netherlands,2010,1700541,Technology,Semiconductors
OKTA,Okta Inc. Class A Common Stock,$69.42,-6.15,-8.138%,11388484772.00,United States,2017,11184874,Technology,Computer Software: Prepackaged Software
ON,ON Semiconductor Corporation Common Stock,$83.61,-1.22,-1.438%,36080135844.00,United States,,5548385,Technology,Semiconductors
PANW,Palo Alto Networks Inc. Common Stock,$246.17,3.07,1.263%,75966733667.00,United States,,2381677,Technology,Computer peripheral equipment
PCTY,Paylocity Holding Corporation Common Stock,$187.27,-2.00,-1.057%,10472352450.00,United States,2014,216078,Technology,Computer Software: Prepackaged Software
PTC,PTC Inc. Common Stock,$136.10,-1.65,-1.198%,16173200017.00,United States,,576920,Technology,Computer Software: Prepackaged Software
QCOM,QUALCOMM Incorporated Common Stock,$108.66,0.03,0.028%,121264560000.00,United States,1991,6677939,Technology,Radio And Television Broadcasting And Communications Equipment
SMCI,Super Micro Computer Inc. Common Stock,$254.89,6.31,2.538%,13485196831.00,United States,2020,2944686,Technology,Computer Manufacturing
