Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$138.93 ,2.21,1.62%,2.40868E+12,United States,1980,71001070,Technology,Computer Manufacturing
ADBE,Adobe Inc. Common Stock,$368.48 ,2.42,0.66%,1.74107E+11,United States,1986,2471557,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,$142.91 ,-3.18,-2.18%,74285479461,United States,,3175031,Technology,Semiconductors
ADSK,Autodesk Inc. Common Stock,$173.86 ,1.9,1.11%,37774945561,United States,,1203096,Technology,Computer Software: Prepackaged Software
AMAT,Applied Materials Inc. Common Stock,$86.27 ,-4.71,-5.18%,75050351587,United States,1972,13120943,Technology,Semiconductors
AMD,Advanced Micro Devices Inc. Common Stock,$73.67 ,-2.8,-3.66%,1.19888E+11,United States,,87632980,Technology,Semiconductors
ANSS,ANSYS Inc. Common Stock,$240.19 ,0.9,0.38%,20894156923,United States,1996,409884,Technology,Computer Software: Prepackaged Software
APP,Applovin Corporation Class A Common Stock,$34.98 ,0.54,1.57%,13224046666,United States,2021,2141619,Technology,EDP Services
ASML,ASML Holding N.V. New York Registry Shares,$449.83 ,-26.05,-5.47%,1.81102E+11,Netherlands,1995,1567498,Technology,Industrial Machinery/Components
AVGO,Broadcom Inc. Common Stock,$477.84 ,-7.97,-1.64%,1.9296E+11,United States,2009,2131477,Technology,Semiconductors
AZPN,Aspen Technology Inc. Common Stock,$191.24 ,7.56,4.12%,11889140084,United States,,172924,Technology,EDP Services
BIDU,Baidu Inc. ADS,$151.49 ,2.76,1.86%,52347447214,China,2005,1815111,Technology,Computer Software: Programming Data Processing
BILI,Bilibili Inc. American Depositary Shares,$26.74 ,1.14,4.45%,10444766656,China,2018,3159946,Technology,EDP Services
CDNS,Cadence Design Systems Inc. Common Stock,$149.64 ,-0.39,-0.26%,41264576760,United States,,1509260,Technology,Computer Software: Prepackaged Software
CDW,CDW Corporation Common Stock,$157.00 ,-0.56,-0.36%,21213168040,United States,2013,798076,Technology,EDP Services
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,$123.83 ,2.05,1.68%,15864302630,Israel,1996,640403,Technology,Computer Software: Prepackaged Software
COIN,Coinbase Global Inc. Class A Common Stock,$49.04 ,2.02,4.30%,12843576000,United States,,8529908,Technology,EDP Services
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,$179.25 ,10.69,6.34%,41598845951,United States,2019,3705562,Technology,EDP Services
CSCO,Cisco Systems Inc. Common Stock (DE),$42.60 ,-0.04,-0.09%,1.76405E+11,United States,1990,24337646,Telecommunications,Computer Communications Equipment
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,$68.03 ,0.54,0.80%,35455456199,United States,1998,2006491,Technology,EDP Services
CTXS,Citrix Systems Inc. Common Stock,$97.93 ,0.76,0.78%,12395972153,United States,1995,494880,Technology,Computer Software: Prepackaged Software
DDOG,Datadog Inc. Class A Common Stock,$101.05 ,5.81,6.10%,31832506350,United States,2019,3821125,Technology,EDP Services
DOCU,DocuSign Inc. Common Stock,$61.22 ,3.84,6.69%,12240571680,United States,2018,7464699,Technology,EDP Services
DOX,Amdocs Limited Ordinary Shares,$84.45 ,1.14,1.37%,10373838000,Guernsey,,620151,Technology,EDP Services
ENTG,Entegris Inc. Common Stock,$88.38 ,-3.75,-4.07%,12009346964,United States,2000,2085437,Technology,Semiconductors
ERIC,Ericsson American Depositary Shares,$7.43 ,0.03,0.41%,24771620000,Sweden,,8541718,Technology,Computer Software: Prepackaged Software
FTNT,Fortinet Inc. Common Stock,$57.37 ,0.79,1.40%,45232325482,United States,2009,2661718,Technology,Security Systems Services
GOOG,Alphabet Inc. Class C Capital Stock,"$2,181.62 ",-5.83,-0.27%,1.4366E+12,United States,2004,1550583,Technology,Internet and Information Services
GOOGL,Alphabet Inc. Class A Common Stock,"$2,174.75 ",-4.51,-0.21%,1.43207E+12,United States,2004,1771915,Technology,Internet and Information Services
INTC,Intel Corporation Common Stock,$36.34 ,-1.07,-2.86%,1.48594E+11,United States,,40585287,Technology,Semiconductors
INTU,Intuit Inc. Common Stock,$388.31 ,2.87,0.75%,1.09533E+11,United States,1993,1132842,Technology,Computer Software: Prepackaged Software
JKHY,Jack Henry & Associates Inc. Common Stock,$184.27 ,4.25,2.36%,13426245176,United States,1985,460147,Technology,Retail: Computer Software & Peripheral Equipment
KLAC,KLA Corporation Common Stock,$296.26 ,-22.82,-7.15%,42272168877,United States,1980,2323216,Technology,Electronic Components
LBTYA,Liberty Global plc Class A Ordinary Shares,$21.54 ,0.49,2.33%,10873765181,United Kingdom,,1267297,Telecommunications,Cable & Other Pay Television Services
LBTYB,Liberty Global plc Class B Ordinary Shares,$22.40 ,0,0.00%,11307908080,United Kingdom,,40,Telecommunications,Cable & Other Pay Television Services
LBTYK,Liberty Global plc Class C Ordinary Shares,$22.63 ,0.54,2.45%,11424016065,United Kingdom,,2902856,Telecommunications,Cable & Other Pay Television Services
LRCX,Lam Research Corporation Common Stock,$394.83 ,-31.32,-7.35%,54768854110,United States,1984,2949639,Technology,Industrial Machinery/Components
MCHP,Microchip Technology Incorporated Common Stock,$56.16 ,-1.92,-3.31%,31140793008,United States,1993,4657482,Technology,Semiconductors
MDB,MongoDB Inc. Class A Common Stock,$269.01 ,9.51,3.67%,18323612384,United States,2017,1490611,Technology,Retail: Computer Software & Peripheral Equipment
META,Meta Platforms Inc. Class A Common Stock,$160.03 ,-1.22,-0.76%,4.33093E+11,United States,2012,31400974,Technology,Internet and Information Services
MPWR,Monolithic Power Systems Inc. Common Stock,$364.95 ,-19.09,-4.97%,17022362850,United States,2004,772903,Technology,Semiconductors
MRVL,Marvell Technology Inc. Common Stock,$42.55 ,-0.98,-2.25%,36163245000,Bermuda,2000,8789111,Technology,Semiconductors
MSFT,Microsoft Corporation Common Stock,$259.58 ,2.75,1.07%,1.94141E+12,United States,1986,22825198,Technology,Computer Software: Prepackaged Software
