Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),$2.56,0.00,0.00%,40292698163.00,,2013,38929268,Consumer Staples,Beverages (Production/Distribution)
ACI,Albertsons Companies Inc. Class A Common Stock,$26.86,-0.70,-2.54%,14278497220.00,United States,2020,6482714,Consumer Staples,Food Chains
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),$54.63,-0.45,-0.817%,94902608520.00,Belgium,,1935495,Consumer Staples,Beverages (Production/Distribution)
CAG,ConAgra Brands Inc. Common Stock,$34.37,-0.19,-0.55%,16493312514.00,United States,,3981700,Consumer Staples,Packaged Foods
CPB,Campbell Soup Company Common Stock,$48.25,-0.24,-0.495%,14502773472.00,United States,,2448152,Consumer Staples,Packaged Foods
DEO,Diageo plc Common Stock,$171.72,-0.91,-0.527%,98010228219.00,United Kingdom,,618647,Consumer Staples,Beverages (Production/Distribution)
FMX,Fomento Economico Mexicano S.A.B. de C.V. Common Stock,$64.47,-4.24,-6.171%,23068824763.00,Mexico,,1036978,Consumer Staples,Beverages (Production/Distribution)
GIS,General Mills Inc. Common Stock,$75.15,-0.64,-0.844%,44876456766.00,United States,,6009622,Consumer Staples,Food Chains
HRL,Hormel Foods Corporation Common Stock,$47.60,-0.12,-0.251%,25992246322.00,United States,,1610534,Consumer Staples,Meat/Poultry/Fish
HSY,The Hershey Company Common Stock,$218.34,-2.66,-1.204%,44891718408.00,United States,,822171,Consumer Staples,Specialty Foods
K,Kellogg Company Common Stock,$72.27,0.49,0.683%,24418051573.00,United States,,3117540,Consumer Staples,Packaged Foods
KO,Coca-Cola Company (The) Common Stock,$63.28,-1.10,-1.709%,274320617845.00,United States,,15925029,Consumer Staples,Beverages (Production/Distribution)
KOF,Coca Cola Femsa S.A.B. de C.V.  American Depositary Shares each representing 10 Units (each Unit consists of 3 Series B Shares and 5 Series L Shares),$56.20,-0.18,-0.319%,11806677301.00,Mexico,1993,190434,Consumer Staples,Beverages (Production/Distribution)
KR,Kroger Company (The) Common Stock,$47.23,-0.91,-1.89%,33795916795.00,United States,,4416711,Consumer Staples,Food Chains
LW,Lamb Weston Holdings Inc. Common Stock ,$73.40,1.74,2.428%,10602401359.00,,2016,1381352,Consumer Staples,Specialty Foods
MKC,McCormick & Company Incorporated Common Stock,$84.10,1.43,1.73%,22563754236.00,United States,,1708874,Consumer Staples,Farming/Seeds/Milling
SJM,J.M. Smucker Company (The) New Common Stock,$131.48,0.29,0.221%,13997091397.00,United States,,1197946,Consumer Staples,Packaged Foods
SONY,Sony Group Corporation American Depositary Shares ,$80.95,-0.73,-0.894%,100077974772.00,Japan,,789745,Consumer Staples,Consumer Electronics/Appliances
STZ,Constellation Brands Inc. Common Stock,$236.71,1.28,0.544%,43209173117.00,United States,,1326524,Consumer Staples,Beverages (Production/Distribution)
TAP,Molson Coors Beverage Company Class B Common Stock,$55.34,-0.28,-0.503%,12003024751.00,Canada,,1779324,Consumer Staples,Beverages (Production/Distribution)
TSN,Tyson Foods Inc. Common Stock,$85.79,0.54,0.633%,31017319852.00,United States,,2572036,Consumer Staples,Meat/Poultry/Fish
UL,Unilever PLC Common Stock,$45.84,-0.45,-0.972%,116926788159.00,United Kingdom,,2344482,Consumer Staples,Farming/Seeds/Milling
