Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AMX,America Movil S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares,$16.79,-0.04,-0.238%,53161337500.00,Mexico,2023,3023853,Telecommunications,Telecommunications Equipment
ANET,Arista Networks Inc. Common Stock,$186.52,0.41,0.22%,57742979108.00,United States,2014,1680463,Technology,Computer peripheral equipment
APH,Amphenol Corporation Common Stock,$79.18,-0.68,-0.851%,47227224157.00,United States,,3265146,Technology,Electrical Products
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) ,$7.63,-0.08,-1.038%,16661031671.00,Taiwan,2018,4768525,Technology,Semiconductors
BCE,BCE Inc. Common Stock,$37.37,0.44,1.191%,34092261119.00,Canada,,2096196,Telecommunications,Telecommunications Equipment
BILL,BILL Holdings Inc. Common Stock,$101.94,0.94,0.931%,10867375374.00,United States,2019,1541848,Technology,EDP Services
CDAY,Ceridian HCM Holding Inc. Common Stock,$68.99,-0.74,-1.061%,10735709962.00,United States,2018,954801,Technology,Computer Software: Prepackaged Software
CHT,Chunghwa Telecom Co. Ltd.,$35.53,-0.18,-0.504%,27562207592.00,Taiwan,,109873,Telecommunications,Telecommunications Equipment
CRM,Salesforce Inc. Common Stock,$202.00,-1.73,-0.849%,196546000000.00,United States,2004,4563081,Technology,Computer Software: Prepackaged Software
DELL,Dell Technologies Inc. Class C Common Stock ,$65.54,-0.37,-0.561%,47413382182.00,United States,2018,2945046,Technology,Computer Manufacturing
DT,Dynatrace Inc. Common Stock,$46.40,0.08,0.173%,13608658320.00,United States,2019,1619192,Technology,Computer Software: Prepackaged Software
EMR,Emerson Electric Company Common Stock,$90.16,-1.31,-1.432%,51526440000.00,United States,,2790838,Technology,Consumer Electronics/Appliances
EPAM,EPAM Systems Inc. Common Stock,$222.33,-1.00,-0.448%,12886419106.00,United States,2012,290958,Technology,EDP Services
ETN,Eaton Corporation PLC Ordinary Shares,$195.47,1.48,0.763%,77992530000.00,Ireland,,2759394,Technology,Industrial Machinery/Components
GDDY,GoDaddy Inc. Class A Common Stock,$73.68,-0.81,-1.087%,10839775370.00,United States,2015,876905,Technology,EDP Services
GE,General Electric Company Common Stock,$106.69,0.61,0.575%,116119069411.00,United States,,5821167,Technology,Consumer Electronics/Appliances
GLW,Corning Incorporated Common Stock,$26.93,-0.24,-0.883%,22970803133.00,United States,,4442071,Technology,Industrial Machinery/Components
HPE,Hewlett Packard Enterprise Company Common Stock,$15.20,-0.03,-0.197%,19499543729.00,United States,2015,13467916,Technology,Retail: Computer Software & Peripheral Equipment
HPQ,HP Inc. Common Stock,$25.88,-0.13,-0.50%,25576395793.00,United States,,4582681,Technology,Computer Manufacturing
HUBB,Hubbell Inc Common Stock,$280.38,0.51,0.182%,15037064266.00,United States,2015,523507,Technology,Industrial Machinery/Components
HUBS,HubSpot Inc. Common Stock,$431.02,1.95,0.454%,21557605813.00,United States,2014,595513,Technology,Computer Software: Prepackaged Software
IBM,International Business Machines Corporation Common Stock,$136.38,-0.78,-0.569%,124243031011.00,United States,,3456876,Technology,Computer Manufacturing
INFY,Infosys Limited American Depositary Shares,$16.78,-0.19,-1.12%,70589074396.00,India,,8505819,Technology,EDP Services
IOT,Samsara Inc. Class A Common Stock,$23.15,0.33,1.446%,12384140120.00,United States,2021,1659684,Technology,Retail: Computer Software & Peripheral Equipment
JBL,Jabil Inc. Common Stock,$124.23,-0.79,-0.632%,16483372204.00,United States,1993,1585604,Technology,Electrical Products
LDOS,Leidos Holdings Inc. Common Stock,$91.88,-0.83,-0.895%,12619821549.00,United States,,393524,Technology,EDP Services
MSI,Motorola Solutions Inc. Common Stock,$279.43,-1.82,-0.647%,46670295770.00,United States,,607316,Technology,Radio And Television Broadcasting And Communications Equipment
NET,Cloudflare Inc. Class A Common Stock,$58.70,-0.68,-1.145%,19618625128.00,United States,2019,3753042,Technology,Computer Software: Prepackaged Software
NOK,Nokia Corporation Sponsored American Depositary Shares,$3.16,-0.02,-0.629%,17798060340.00,Finland,1994,26496890,Technology,Radio And Television Broadcasting And Communications Equipment
NOW,ServiceNow Inc. Common Stock,$541.38,-1.13,-0.208%,110441520000.00,United States,2012,943020,Technology,Computer Software: Prepackaged Software
ORAN,Orange,$11.42,-0.04,-0.349%,30363398930.00,France,,251461,Telecommunications,Telecommunications Equipment
ORCL,Oracle Corporation Common Stock,$103.66,1.81,1.777%,284009844860.00,United States,1986,10719003,Technology,Computer Software: Prepackaged Software
OTIS,Otis Worldwide Corporation Common Stock ,$76.91,-0.62,-0.80%,31667307873.00,United States,2020,1822242,Technology,Consumer Electronics/Appliances
PAYC,Paycom Software Inc. Common Stock,$257.65,-1.44,-0.556%,15579336205.00,United States,2014,367810,Technology,Computer Software: Prepackaged Software
PINS,Pinterest Inc. Class A Common Stock,$26.64,0.68,2.619%,17848970070.00,United States,2019,10893399,Technology,Computer Software: Programming Data Processing
PLTR,Palantir Technologies Inc. Class A Common Stock,$16.20,0.09,0.559%,34859571124.00,United States,2020,55867124,Technology,Retail: Computer Software & Peripheral Equipment
PSTG,Pure Storage Inc. Class A Common Stock,$33.41,0.33,0.998%,10422450996.00,United States,2015,2037024,Technology,Electronic Components
RBLX,Roblox Corporation Class A Common Stock,$30.57,-1.18,-3.717%,18854662996.00,United States,2021,8131579,Technology,EDP Services
RCI,Rogers Communication Inc. Common Stock,$37.14,0.30,0.814%,19630941240.00,Canada,,298110,Telecommunications,Cable & Other Pay Television Services
SAP,SAP  SE ADS,$132.20,1.50,1.148%,162408259470.00,Germany,,732611,Technology,Computer Software: Prepackaged Software
SNAP,Snap Inc. Class A Common Stock,$9.49,0.05,0.53%,15400444608.00,United States,2017,37528086,Technology,Computer Software: Programming Data Processing
SNOW,Snowflake Inc. Class A Common Stock,$148.59,0.92,0.623%,48990123000.00,United States,2020,2859081,Technology,Computer Software: Prepackaged Software
SQ,Block Inc. Class A Common Stock,$43.90,-0.08,-0.182%,26782344829.00,United States,2015,9617694,Technology,Computer Software: Prepackaged Software
STM,STMicroelectronics N.V. Common Stock,$39.78,0.01,0.025%,35955780052.00,Switzerland,,4469126,Technology,Semiconductors
T,AT&T Inc.,$14.95,-0.43,-2.796%,106877550000.00,United States,,53914493,Telecommunications,Telecommunications Equipment
TBB,AT&T Inc. 5.350% Global Notes due 2066,$20.64,0.07,0.34%,147555360000.00,United States,2017,65449,Telecommunications,Telecommunications Equipment
TBC,AT&T Inc. 5.625% Global Notes due 2067,$21.64,-0.06,-0.276%,154704360000.00,United States,2018,33426,Telecommunications,Telecommunications Equipment
TEF,Telefonica SA Common Stock,$3.90,-0.04,-1.015%,22523426461.00,Spain,1988,701179,Telecommunications,Telecommunications Equipment
TEL,TE Connectivity Ltd. New Switzerland Registered Shares,$116.05,-1.55,-1.318%,36432577083.00,Switzerland,,2013651,Technology,Electronic Components
TLK,PT Telekomunikasi Indonesia Tbk,$22.92,-0.61,-2.592%,22705060045.00,Indonesia,,296229,Telecommunications,Telecommunications Equipment
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$91.11,-0.20,-0.219%,472503392742.00,Taiwan,1997,8216009,Technology,Semiconductors
TU,Telus Corporation Ordinary Shares,$16.10,-0.02,-0.124%,23296700000.00,Canada,,1894538,Telecommunications,Telecommunications Equipment
TYL,Tyler Technologies Inc. Common Stock,$366.78,-0.93,-0.253%,15433519220.00,United States,,183856,Technology,Computer Software: Prepackaged Software
U,Unity Software Inc. Common Stock,$26.36,-0.81,-2.981%,10107935113.00,United States,2020,10450229,Technology,Retail: Computer Software & Peripheral Equipment
UMC,United Microelectronics Corporation (NEW) Common Stock,$7.42,-0.01,-0.135%,18557047494.00,Taiwan,,4697486,Technology,Semiconductors
VEEV,Veeva Systems Inc. Class A Common Stock,$195.13,-5.26,-2.625%,31348711618.00,United States,2013,1226889,Technology,Computer Software: Prepackaged Software
VIV,Telefonica Brasil S.A. American Depositary Shares (Each representing One Common Share),$8.97,0.01,0.112%,14922103877.00,Brazil,2020,898002,Telecommunications,Telecommunications Equipment
VMW,Vmware Inc. Common stock Class A,$155.87,4.96,3.287%,67303027495.00,United States,2007,5690842,Technology,Computer Software: Prepackaged Software
VRT,Vertiv Holdings LLC Class A Common Stock,$37.29,0.55,1.497%,14189879984.00,United States,2018,6630042,Technology,Industrial Machinery/Components
WIT,Wipro Limited Common Stock,$4.54,-0.07,-1.518%,24915146544.00,India,,1830913,Technology,EDP Services
